"111年07月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,300.16","+","397.39","2.50","",
"發行量加權股價指數","14,336.27","+","350.76","2.51","",
"臺灣公司治理100指數","8,225.22","+","231.29","2.89","",
"臺灣50指數","10,941.64","+","340.89","3.22","",
"臺灣50權重上限30%指數","10,461.08","+","275.00","2.70","",
"臺灣中型100指數","12,166.56","+","227.48","1.91","",
"臺灣資訊科技指數","18,172.29","+","754.82","4.33","",
"臺灣發達指數","9,854.46","+","96.40","0.99","",
"臺灣高股息指數","5,969.58","+","96.33","1.64","",
"臺灣就業99指數","8,696.91","+","131.42","1.53","",
"臺灣高薪100指數","7,976.53","+","145.17","1.85","",
"未含金融指數","12,274.55","+","337.52","2.83","",
"未含電子指數","17,371.93","+","107.55","0.62","",
"未含金融電子指數","14,506.18","+","109.46","0.76","",
"小型股300指數","7,920.86","+","121.90","1.56","",
"水泥窯製類指數","627.94","+","7.80","1.26","",
"塑膠化工類指數","794.88","-","6.87","-0.86","",
"機電類指數","3,645.56","+","133.46","3.80","",
"水泥類指數","166.91","+","1.83","1.11","",
"食品類指數","1,893.95","+","16.63","0.89","",
"塑膠類指數","229.85","-","4.55","-1.94","",
"紡織纖維類指數","541.88","+","6.78","1.27","",
"電機機械類指數","230.63","+","4.86","2.15","",
"電器電纜類指數","87.00","+","1.23","1.43","",
"化學生技醫療類指數","112.07","+","1.20","1.08","",
"化學類指數","131.25","+","1.98","1.53","",
"生技醫療類指數","65.42","+","0.35","0.54","",
"玻璃陶瓷類指數","46.78","+","1.05","2.30","",
"造紙類指數","295.80","+","1.08","0.37","",
"鋼鐵類指數","135.08","+","0.81","0.60","",
"橡膠類指數","246.04","+","2.90","1.19","",
"汽車類指數","326.45","+","4.71","1.46","",
"電子工業類指數","650.23","+","24.19","3.86","",
"半導體類指數","307.13","+","13.99","4.77","",
"電腦及週邊設備類指數","116.86","+","2.28","1.99","",
"光電類指數","31.31","+","1.21","4.02","",
"通信網路類指數","138.61","+","0.98","0.71","",
"電子零組件類指數","141.38","+","5.21","3.83","",
"電子通路類指數","164.95","+","2.07","1.27","",
"資訊服務類指數","120.18","+","0.49","0.41","",
"其他電子類指數","94.12","+","2.42","2.64","",
"建材營造類指數","346.43","+","1.79","0.52","",
"航運類指數","194.94","+","4.77","2.51","",
"觀光類指數","97.50","+","0.94","0.97","",
"金融保險類指數","1,528.04","+","4.67","0.31","",
"貿易百貨類指數","301.90","+","6.04","2.04","",
"油電燃氣類指數","117.25","-","0.99","-0.84","",
"其他類指數","346.29","+","3.05","0.89","",
"臺指日報酬兩倍指數","26,186.92","+","1,250.81","5.02","",
"臺指反向一倍指數","4,863.40","-","125.11","-2.51","",
"電子類兩倍槓桿指數","23,910.01","+","1,715.20","7.73","",
"電子類反向指數","4,542.88","-","182.59","-3.86","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,897.42","+","39.22","1.02","",
"臺灣中小型公司治理指數","6,161.18","+","167.24","2.79","",
"臺灣IPO指數","5,227.81","+","160.44","3.17","",
"智慧中立指數","3,783.20","+","24.13","0.64","",
"臺灣5G指數","6,918.81","+","239.89","3.59","",
"臺灣企業社會責任中小型指數","7,396.97","+","88.43","1.21","",
"特選臺灣電動車代表指數","5,153.87","+","122.37","2.43","",
"臺灣5G+通訊指數","5,265.24","+","204.66","4.04","",
"臺灣全市場指數","4,817.13","+","128.85","2.75","",
"臺灣全市場半導體指數","4,370.40","+","186.13","4.45","",
"臺灣電動車與自駕科技永續概念指數","3,741.92","+","152.40","4.25","",
"臺灣智慧移動與電動車指數","3,591.66","+","124.82","3.60","",
"特選小資高價30指數","3,975.08","+","166.56","4.37","",
"特選臺灣綠能及電動車指數","4,020.29","+","87.14","2.22","",
"特選臺灣智能車供應鏈聯盟指數","3,820.92","+","150.78","4.11","",
"臺灣全市場半導體精選30指數","3,457.39","+","158.23","4.80","",
"特選臺灣高股息30指數","3,808.77","+","46.16","1.23","",
"臺灣友善環境指數","4,282.49","+","111.41","2.67","",
"台灣永續價值指數","4,026.31","+","87.56","2.22","",
"特選臺灣IC設計指數","2,747.48","+","88.31","3.32","",
"特選臺灣環境永續高股息指數","3,995.92","+","55.81","1.42","",
"臺灣友善環境50指數","3,753.89","+","106.48","2.92","",
"特選台灣策略高股息30指數","3,755.29","+","86.65","2.36","",
"特選臺灣IC設計產業代表指數","2,986.76","+","120.47","4.20","",
"特選臺灣綠能指數","4,428.17","+","81.19","1.87","",
"特選臺灣成長高股息指數","3,715.20","+","65.35","1.79","",
"特選臺灣智慧50指數","3,678.72","+","113.26","3.18","",
"特選臺灣標竿PCB指數","3,522.67","+","113.78","3.34","",
"臺灣晶圓製造指數","3,897.18","+","170.77","4.58","",
"臺灣精選高息指數","3,706.80","+","60.49","1.66","",
"臺灣多因子優選高股息30指數","4,523.37","+","36.84","0.82","",
"特選臺灣優利高填息30指數","4,282.72","+","95.54","2.28","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","26,106.04","+","159.08","0.61","",
"金融類日報酬反向一倍指數","5,055.88","-","15.55","-0.31","",
"漲升股利150指數","7,525.47","+","130.90","1.77","",
"藍籌30指數","6,936.06","+","162.54","2.40","",
"工業菁英30指數","7,233.29","+","180.48","2.56","",
"電子菁英30指數","6,891.60","+","232.45","3.49","",
"低波動股利精選30指數","6,710.42","+","80.18","1.21","",
"中小型A級動能50指數","12,383.12","+","226.91","1.87","",
"特選高息低波指數","6,473.29","+","54.15","0.84","",
"臺灣永續指數","7,257.55","+","185.61","2.62","",
"特選內需高收益指數","6,057.81","+","31.22","0.52","",
"價值投資指數","5,659.41","+","153.69","2.79","",
"存股雙十等權重指數","6,542.99","+","125.88","1.96","",
"特選大蘋果指數","5,908.01","+","249.31","4.41","",
"中小型300指數","7,937.96","+","154.73","1.99","",
"特股高息20指數","5,959.84","+","8.85","0.15","",
"臺灣500指數","7,417.33","+","175.09","2.42","",
"臺灣勞工權益指數","7,028.49","+","84.23","1.21","",
"微波高息精選20指數","6,259.50","+","49.25","0.79","",
"特選世代行動通訊指數","5,913.26","+","256.93","4.54","",
"智慧投資多因子30指數","4,995.51","+","110.35","2.26","",
"臺股期貨指數","7,303.40","+","157.13","2.20","",
"特選價值成長指數","6,090.91","+","102.03","1.70","",
"臺灣上櫃永續指數","4,870.00","+","154.75","3.28","",
"特選台股領航指數","6,377.47","+","194.28","3.14","",
"特選Smart多因子指數","5,348.68","+","140.94","2.71","",
"特選ESG高股息指數","3,868.03","+","89.57","2.37","",
"特選上櫃ESG成長指數","3,388.10","+","130.41","4.00","",
"特選上櫃ESG電子菁英指數","3,602.69","+","151.71","4.40","",
"新臺灣高股息指數","4,159.40","+","37.35","0.91","",
"臺灣優息存股指數","4,667.42","+","33.57","0.72","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","22,340.83","+","559.77","2.57","",
"發行量加權股價報酬指數","29,198.38","+","731.20","2.57","",
"臺灣公司治理100報酬指數","11,092.13","+","314.50","2.92","",
"臺灣50報酬指數","22,534.42","+","710.66","3.26","",
"臺灣50權重上限30%報酬指數","21,716.26","+","581.56","2.75","",
"臺灣中型100報酬指數","23,116.65","+","449.79","1.98","",
"臺灣資訊科技股報酬指數","35,227.03","+","1,476.95","4.38","",
"臺灣發達報酬指數","18,528.89","+","181.27","0.99","",
"臺灣高股息報酬指數","15,713.68","+","285.17","1.85","",
"臺灣就業99報酬指數","13,256.80","+","203.91","1.56","",
"臺灣高薪100報酬指數","11,208.55","+","212.02","1.93","",
"未含金融電子報酬指數","30,134.70","+","234.94","0.79","",
"小型股300報酬指數","10,202.88","+","165.70","1.65","",
"水泥類報酬指數","317.34","+","3.49","1.11","",
"食品類報酬指數","2,880.27","+","25.29","0.89","",
"塑膠類報酬指數","419.44","-","8.17","-1.91","",
"紡織纖維類報酬指數","860.64","+","10.77","1.27","",
"電機機械類報酬指數","341.90","+","7.19","2.15","",
"電器電纜類報酬指數","132.84","+","2.70","2.07","",
"化學生技醫療類報酬指數","172.72","+","1.95","1.14","",
"化學類報酬指數","215.82","+","3.26","1.53","",
"生技醫療類報酬指數","91.41","+","0.61","0.67","",
"玻璃陶瓷類報酬指數","58.63","+","1.32","2.30","",
"造紙類報酬指數","450.14","+","1.93","0.43","",
"鋼鐵類報酬指數","212.48","+","1.28","0.61","",
"橡膠類報酬指數","382.67","+","4.52","1.20","",
"汽車類報酬指數","507.68","+","7.43","1.49","",
"電子工業類報酬指數","1,203.54","+","45.44","3.92","",
"半導體類報酬指數","535.23","+","24.52","4.80","",
"電腦及週邊設備類報酬指數","246.80","+","5.66","2.35","",
"光電類報酬指數","45.10","+","1.80","4.16","",
"通信網路類報酬指數","286.75","+","2.07","0.73","",
"電子零組件類報酬指數","258.82","+","9.64","3.87","",
"電子通路類報酬指數","383.49","+","4.80","1.27","",
"資訊服務類報酬指數","273.27","+","1.11","0.41","",
"其他電子類報酬指數","151.00","+","3.92","2.67","",
"建材營造類報酬指數","671.92","+","3.54","0.53","",
"航運類報酬指數","305.72","+","7.48","2.51","",
