"111年06月30日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,884.76","-","484.45","-2.79","",
"發行量加權股價指數","14,825.73","-","414.40","-2.72","",
"臺灣公司治理100指數","8,540.43","-","242.19","-2.76","",
"臺灣50指數","11,357.32","-","313.37","-2.69","",
"臺灣50權重上限30%指數","10,851.15","-","287.14","-2.58","",
"臺灣中型100指數","12,598.87","-","369.41","-2.85","",
"臺灣資訊科技指數","18,884.28","-","593.25","-3.05","",
"臺灣發達指數","10,137.09","-","222.51","-2.15","",
"臺灣高股息指數","6,185.82","-","153.89","-2.43","",
"臺灣就業99指數","9,020.77","-","240.25","-2.59","",
"臺灣高薪100指數","8,302.77","-","228.05","-2.67","",
"未含金融指數","12,683.37","-","368.16","-2.82","",
"未含電子指數","17,977.07","-","367.81","-2.00","",
"未含金融電子指數","14,978.84","-","306.80","-2.01","",
"小型股300指數","8,167.62","-","216.68","-2.58","",
"水泥窯製類指數","619.24","-","3.00","-0.48","",
"塑膠化工類指數","899.80","-","16.86","-1.84","",
"機電類指數","3,767.90","-","123.77","-3.18","",
"水泥類指數","163.95","-","0.05","-0.03","",
"食品類指數","1,839.49","-","5.88","-0.32","",
"塑膠類指數","274.71","-","4.65","-1.66","",
"紡織纖維類指數","545.86","-","12.11","-2.17","",
"電機機械類指數","235.25","-","5.19","-2.16","",
"電器電纜類指數","92.73","-","2.52","-2.65","",
"化學生技醫療類指數","114.82","-","3.20","-2.71","",
"化學類指數","135.58","-","3.89","-2.79","",
"生技醫療類指數","66.35","-","1.78","-2.61","",
"玻璃陶瓷類指數","47.42","-","1.71","-3.48","",
"造紙類指數","308.47","-","7.68","-2.43","",
"鋼鐵類指數","135.34","-","3.39","-2.44","",
"橡膠類指數","248.63","-","2.33","-0.93","",
"汽車類指數","327.31","-","9.53","-2.83","",
"電子工業類指數","672.12","-","22.30","-3.21","",
"半導體類指數","319.50","-","10.72","-3.25","",
"電腦及週邊設備類指數","121.32","-","4.20","-3.35","",
"光電類指數","31.59","-","0.72","-2.23","",
"通信網路類指數","135.48","-","6.09","-4.30","",
"電子零組件類指數","145.67","-","5.56","-3.68","",
"電子通路類指數","173.60","-","3.60","-2.03","",
"資訊服務類指數","122.59","-","1.79","-1.44","",
"其他電子類指數","98.65","-","1.99","-1.98","",
"建材營造類指數","349.25","-","6.38","-1.79","",
"航運類指數","193.26","-","5.28","-2.66","",
"觀光類指數","98.56","-","1.63","-1.63","",
"金融保險類指數","1,589.23","-","32.43","-2.00","",
"貿易百貨類指數","283.73","-","1.14","-0.40","",
"油電燃氣類指數","122.29","-","2.39","-1.92","",
"其他類指數","359.18","-","9.98","-2.70","",
"臺指日報酬兩倍指數","28,077.66","-","1,614.75","-5.44","",
"臺指反向一倍指數","4,714.59","+","124.80","2.72","",
"電子類兩倍槓桿指數","25,654.54","-","1,760.78","-6.42","",
"電子類反向指數","4,413.13","+","137.31","3.21","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
