"111年09月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,810.58","-","7.29","-0.04","",
"發行量加權股價指數","14,677.20","+","16.10","0.11","",
"臺灣公司治理100指數","8,437.47","+","39.91","0.48","",
"臺灣50指數","11,279.87","+","65.95","0.59","",
"臺灣50權重上限30%指數","10,670.38","+","61.46","0.58","",
"臺灣中型100指數","12,571.59","-","80.97","-0.64","",
"臺灣資訊科技指數","19,094.23","+","59.90","0.31","",
"臺灣發達指數","9,637.58","+","29.21","0.30","",
"臺灣高股息指數","5,996.25","-","3.41","-0.06","",
"臺灣就業99指數","8,882.19","+","3.01","0.03","",
"臺灣高薪100指數","8,090.97","+","28.11","0.35","",
"未含金融指數","12,565.14","+","5.11","0.04","",
"未含電子指數","17,324.03","+","32.48","0.19","",
"未含金融電子指數","14,295.03","+","0.50","--","",
"小型股300指數","8,191.00","-","92.15","-1.11","",
"水泥窯製類指數","643.62","+","8.90","1.40","",
"塑膠化工類指數","819.91","-","4.35","-0.53","",
"機電類指數","3,791.61","+","0.82","0.02","",
"水泥類指數","172.57","+","2.89","1.70","",
"食品類指數","1,838.81","+","7.53","0.41","",
"塑膠類指數","234.22","+","1.42","0.61","",
"紡織纖維類指數","567.08","-","2.44","-0.43","",
"電機機械類指數","219.62","-","2.54","-1.14","",
"電器電纜類指數","91.74","-","0.82","-0.89","",
"化學生技醫療類指數","120.83","-","3.55","-2.85","",
"化學類指數","137.20","-","1.46","-1.05","",
"生技醫療類指數","72.60","-","3.47","-4.56","",
"玻璃陶瓷類指數","44.98","-","0.39","-0.86","",
"造紙類指數","296.82","-","3.63","-1.21","",
"鋼鐵類指數","136.38","+","0.13","0.10","",
"橡膠類指數","242.00","-","1.75","-0.72","",
"汽車類指數","326.72","+","3.07","0.95","",
"電子工業類指數","677.74","+","0.39","0.06","",
"半導體類指數","321.21","+","0.87","0.27","",
"電腦及週邊設備類指數","120.83","-","0.36","-0.30","",
"光電類指數","33.25","-","0.37","-1.10","",
"通信網路類指數","133.93","-","0.55","-0.41","",
"電子零組件類指數","151.53","+","0.16","0.11","",
"電子通路類指數","169.87","-","0.87","-0.51","",
"資訊服務類指數","124.70","-","0.97","-0.77","",
"其他電子類指數","99.70","-","0.13","-0.13","",
"建材營造類指數","359.02","-","0.32","-0.09","",
"航運類指數","175.25","+","0.78","0.45","",
"觀光類指數","97.77","+","0.24","0.25","",
"金融保險類指數","1,565.80","+","9.37","0.60","",
"貿易百貨類指數","282.80","+","0.12","0.04","",
"油電燃氣類指數","108.56","+","0.69","0.64","",
"其他類指數","342.84","-","0.26","-0.08","",
"臺指日報酬兩倍指數","27,311.39","+","59.85","0.22","",
"臺指反向一倍指數","4,726.99","-","5.20","-0.11","",
"電子類兩倍槓桿指數","25,788.87","+","29.66","0.12","",
"電子類反向指數","4,326.90","-","2.49","-0.06","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,493.08","-","90.30","-1.97","",
"臺灣中小型公司治理指數","6,462.48","-","43.25","-0.66","",
"臺灣IPO指數","5,194.03","-","131.98","-2.48","",
"智慧中立指數","3,605.93","+","2.12","0.06","",
"臺灣5G指數","7,022.28","+","9.51","0.14","",
"臺灣企業社會責任中小型指數","7,664.24","-","33.39","-0.43","",
"特選臺灣電動車代表指數","5,602.77","-","11.20","-0.20","",
"臺灣5G+通訊指數","5,411.46","+","16.89","0.31","",
"臺灣全市場指數","4,986.91","+","1.21","0.02","",
"臺灣全市場半導體指數","4,461.80","-","16.92","-0.38","",
"臺灣電動車與自駕科技永續概念指數","3,927.81","-","0.58","-0.01","",
"臺灣智慧移動與電動車指數","3,570.26","+","10.39","0.29","",
"特選小資高價30指數","4,133.97","+","7.73","0.19","",
"特選臺灣綠能及電動車指數","4,249.59","+","2.30","0.05","",
"特選臺灣智能車供應鏈聯盟指數","4,031.91","+","4.16","0.10","",
"臺灣全市場半導體精選30指數","3,508.36","-","2.73","-0.08","",
"特選臺灣高股息30指數","3,678.05","-","9.61","-0.26","",
"臺灣友善環境指數","4,396.46","+","9.88","0.23","",
"台灣永續價值指數","4,170.66","+","19.64","0.47","",
"特選臺灣IC設計指數","2,536.95","-","30.90","-1.20","",
"特選臺灣環境永續高股息指數","3,824.78","-","27.59","-0.72","",
"臺灣友善環境50指數","3,825.45","+","18.92","0.50","",
"特選台灣策略高股息30指數","3,601.53","-","16.50","-0.46","",
"特選臺灣IC設計產業代表指數","2,995.97","-","30.67","-1.01","",
"特選臺灣綠能指數","4,679.14","-","13.72","-0.29","",
"特選臺灣成長高股息指數","3,573.13","-","14.60","-0.41","",
"特選臺灣智慧50指數","3,645.19","+","15.32","0.42","",
"特選臺灣標竿PCB指數","3,617.49","-","18.43","-0.51","",
"臺灣晶圓製造指數","4,062.09","-","3.77","-0.09","",
"臺灣精選高息指數","3,564.17","-","15.82","-0.44","",
"臺灣多因子優選高股息30指數","4,602.96","+","9.84","0.21","",
"特選臺灣優利高填息30指數","4,238.96","-","1.51","-0.04","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","27,286.37","+","324.63","1.20","",
"金融類日報酬反向一倍指數","4,911.27","-","29.75","-0.60","",
"漲升股利150指數","7,559.31","+","14.57","0.19","",
"藍籌30指數","7,044.11","+","30.27","0.43","",
"工業菁英30指數","7,380.14","+","10.43","0.14","",
"電子菁英30指數","7,089.30","+","6.68","0.09","",
"低波動股利精選30指數","6,884.01","+","32.17","0.47","",
"中小型A級動能50指數","13,099.40","-","218.39","-1.64","",
"特選高息低波指數","6,488.71","-","17.66","-0.27","",
"臺灣永續指數","7,479.37","+","32.82","0.44","",
"特選內需高收益指數","5,790.37","+","15.78","0.27","",
"價值投資指數","5,366.85","-","40.68","-0.75","",
"存股雙十等權重指數","6,523.44","-","8.18","-0.13","",
"特選大蘋果指數","6,314.94","+","37.41","0.60","",
"中小型300指數","8,135.25","-","60.74","-0.74","",
"特股高息20指數","5,879.90","+","3.35","0.06","",
"臺灣500指數","7,563.09","+","12.04","0.16","",
"臺灣勞工權益指數","7,046.23","+","19.26","0.27","",
"微波高息精選20指數","6,361.67","+","28.76","0.45","",
"特選世代行動通訊指數","6,162.93","-","82.11","-1.31","",
"智慧投資多因子30指數","4,916.36","+","9.19","0.19","",
"臺股期貨指數","7,648.19","+","12.02","0.16","",
"特選價值成長指數","5,801.97","-","77.08","-1.31","",
"臺灣上櫃永續指數","5,609.17","-","71.16","-1.25","",
"特選台股領航指數","6,483.56","+","23.31","0.36","",
"特選Smart多因子指數","5,445.24","+","2.21","0.04","",
"特選ESG高股息指數","3,819.32","+","1.93","0.05","",
"特選上櫃ESG成長指數","4,084.18","-","56.44","-1.36","",
"特選上櫃ESG電子菁英指數","4,188.52","-","61.66","-1.45","",
"新臺灣高股息指數","4,240.35","-","5.92","-0.14","",
"臺灣優息存股指數","4,657.26","+","33.55","0.73","",
"特選上櫃ESG永續高股息指數","5,759.51","-","62.82","-1.08","",
"特選臺灣金融高股息存股指數","5,083.91","+","26.73","0.53","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","23,428.67","-","8.71","-0.04","",
"發行量加權股價報酬指數","30,389.34","+","35.42","0.12","",
"臺灣公司治理100報酬指數","11,542.19","+","54.60","0.48","",
"臺灣50報酬指數","23,500.60","+","137.40","0.59","",
"臺灣50權重上限30%報酬指數","22,485.30","+","129.52","0.58","",
"臺灣中型100報酬指數","24,549.74","-","153.89","-0.62","",
"臺灣資訊科技股報酬指數","37,320.10","+","117.09","0.31","",
"臺灣發達報酬指數","18,574.64","+","56.30","0.30","",
"臺灣高股息報酬指數","16,542.22","-","9.43","-0.06","",
"臺灣就業99報酬指數","13,841.01","+","6.43","0.05","",
"臺灣高薪100報酬指數","11,644.95","+","41.81","0.36","",
"未含金融電子報酬指數","30,361.14","+","3.09","0.01","",
"小型股300報酬指數","10,833.41","-","121.87","-1.11","",
"水泥類報酬指數","342.94","+","5.76","1.71","",
"食品類報酬指數","2,875.14","+","11.77","0.41","",
"塑膠類報酬指數","429.88","+","2.62","0.61","",
"紡織纖維類報酬指數","927.65","-","4.01","-0.43","",
"電機機械類報酬指數","330.32","-","3.82","-1.14","",
"電器電纜類報酬指數","141.55","-","1.26","-0.88","",
"化學生技醫療類報酬指數","189.43","-","5.58","-2.86","",
"化學類報酬指數","230.62","-","2.44","-1.05","",
"生技醫療類報酬指數","102.69","-","4.90","-4.55","",
"玻璃陶瓷類報酬指數","56.87","-","0.49","-0.85","",
"造紙類報酬指數","461.81","-","5.64","-1.21","",
"鋼鐵類報酬指數","230.39","+","0.22","0.10","",
"橡膠類報酬指數","388.61","-","2.81","-0.72","",
"汽車類報酬指數","524.33","+","4.93","0.95","",
"電子工業類報酬指數","1,268.52","+","0.77","0.06","",
"半導體類報酬指數","562.60","+","1.52","0.27","",
"電腦及週邊設備類報酬指數","266.65","-","0.80","-0.30","",
"光電類報酬指數","49.09","-","0.54","-1.09","",
"通信網路類報酬指數","281.08","-","1.16","-0.41","",
"電子零組件類報酬指數","281.51","+","0.29","0.10","",
"電子通路類報酬指數","407.95","-","2.09","-0.51","",
"資訊服務類報酬指數","290.86","-","2.13","-0.73","",
"其他電子類報酬指數","161.27","-","0.18","-0.11","",
"建材營造類報酬指數","709.16","-","0.64","-0.09","",
"航運類報酬指數","280.05","+","1.25","0.45","",
"觀光類報酬指數","135.75","+","0.41","0.30","",
"金融保險類報酬指數","2,718.79","+","17.01","0.63","",
"貿易百貨類報酬指數","438.74","+","0.19","0.04","",
"油電燃氣類報酬指數","171.85","+","1.11","0.65","",
"其他類報酬指數","582.42","-","0.19","-0.03","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,968.60","-","99.85","-1.97","",
"臺灣中小型公司治理報酬指數","8,486.44","-","56.78","-0.66","",
"臺灣IPO報酬指數","6,063.92","-","154.09","-2.48","",
"智慧中立報酬指數","4,166.57","+","2.45","0.06","",
"加權指數掩護性臺指買權價外5%報酬指數","6,617.65","+","8.03","0.12","",
"臺灣5G報酬指數","7,841.34","+","10.62","0.14","",
"臺灣企業社會責任中小型報酬指數","8,909.78","-","38.81","-0.43","",
"特選臺灣電動車代表報酬指數","6,305.36","-","12.60","-0.20","",
"臺灣5G+通訊報酬指數","5,860.29","+","18.28","0.31","",
"臺灣全市場報酬指數","5,345.37","+","1.62","0.03","",
"臺灣全市場半導體報酬指數","4,794.72","-","18.13","-0.38","",
"臺灣電動車與自駕科技永續概念報酬指數","4,256.25","-","0.63","-0.01","",
"臺灣智慧移動與電動車報酬指數","3,868.32","+","11.26","0.29","",
"特選小資高價30報酬指數","4,402.39","+","8.23","0.19","",
"特選臺灣綠能及電動車報酬指數","4,612.37","+","2.50","0.05","",
"特選臺灣智能車供應鏈聯盟報酬指數","4,319.33","+","4.45","0.10","",
"臺灣全市場半導體精選30報酬指數","3,704.73","-","2.88","-0.08","",
"特選臺灣高股息30報酬指數","4,195.06","-","10.96","-0.26","",
"臺灣友善環境報酬指數","4,654.00","+","10.45","0.23","",
"台灣永續價值報酬指數","4,354.96","+","20.51","0.47","",
