"111年09月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,517.73","-","292.85","-1.74","",
"發行量加權股價指數","14,410.05","-","267.15","-1.82","",
"臺灣公司治理100指數","8,250.25","-","187.22","-2.22","",
"臺灣50指數","11,008.59","-","271.28","-2.40","",
"臺灣50權重上限30%指數","10,444.91","-","225.47","-2.11","",
"臺灣中型100指數","12,474.17","-","97.42","-0.77","",
"臺灣資訊科技指數","18,606.00","-","488.23","-2.56","",
"臺灣發達指數","9,556.42","-","81.16","-0.84","",
"臺灣高股息指數","5,947.86","-","48.39","-0.81","",
"臺灣就業99指數","8,747.18","-","135.01","-1.52","",
"臺灣高薪100指數","7,957.61","-","133.36","-1.65","",
"未含金融指數","12,336.54","-","228.60","-1.82","",
"未含電子指數","17,084.26","-","239.77","-1.38","",
"未含金融電子指數","14,125.48","-","169.55","-1.19","",
"小型股300指數","8,130.64","-","60.36","-0.74","",
"水泥窯製類指數","641.05","-","2.57","-0.40","",
"塑膠化工類指數","806.67","-","13.24","-1.61","",
"機電類指數","3,712.95","-","78.66","-2.07","",
"水泥類指數","172.44","-","0.13","-0.08","",
"食品類指數","1,832.56","-","6.25","-0.34","",
"塑膠類指數","230.66","-","3.56","-1.52","",
"紡織纖維類指數","566.51","-","0.57","-0.10","",
"電機機械類指數","217.49","-","2.13","-0.97","",
"電器電纜類指數","90.91","-","0.83","-0.90","",
"化學生技醫療類指數","118.55","-","2.28","-1.89","",
"化學類指數","135.76","-","1.44","-1.05","",
"生技醫療類指數","70.64","-","1.96","-2.70","",
"玻璃陶瓷類指數","43.70","-","1.28","-2.85","",
"造紙類指數","291.95","-","4.87","-1.64","",
"鋼鐵類指數","134.88","-","1.50","-1.10","",
"橡膠類指數","238.50","-","3.50","-1.45","",
"汽車類指數","320.87","-","5.85","-1.79","",
"電子工業類指數","663.43","-","14.31","-2.11","",
"半導體類指數","311.78","-","9.43","-2.94","",
"電腦及週邊設備類指數","119.41","-","1.42","-1.18","",
"光電類指數","33.41","+","0.16","0.48","",
"通信網路類指數","133.36","-","0.57","-0.43","",
"電子零組件類指數","150.77","-","0.76","-0.50","",
"電子通路類指數","169.00","-","0.87","-0.51","",
"資訊服務類指數","124.25","-","0.45","-0.36","",
"其他電子類指數","97.96","-","1.74","-1.75","",
"建材營造類指數","356.83","-","2.19","-0.61","",
"航運類指數","173.34","-","1.91","-1.09","",
"觀光類指數","97.38","-","0.39","-0.40","",
"金融保險類指數","1,537.20","-","28.60","-1.83","",
"貿易百貨類指數","279.11","-","3.69","-1.30","",
"油電燃氣類指數","106.40","-","2.16","-1.99","",
"其他類指數","338.51","-","4.33","-1.26","",
"臺指日報酬兩倍指數","26,317.16","-","994.23","-3.64","",
"臺指反向一倍指數","4,813.03","+","86.04","1.82","",
"電子類兩倍槓桿指數","24,699.84","-","1,089.03","-4.22","",
"電子類反向指數","4,418.26","+","91.36","2.11","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,473.70","-","19.38","-0.43","",
"臺灣中小型公司治理指數","6,428.88","-","33.60","-0.52","",
"臺灣IPO指數","5,065.88","-","128.15","-2.47","",
"智慧中立指數","3,605.33","-","0.60","-0.02","",
"臺灣5G指數","6,918.69","-","103.59","-1.48","",
"臺灣企業社會責任中小型指數","7,592.50","-","71.74","-0.94","",
"特選臺灣電動車代表指數","5,566.12","-","36.65","-0.65","",
"臺灣5G+通訊指數","5,315.68","-","95.78","-1.77","",
"臺灣全市場指數","4,894.49","-","92.42","-1.85","",
"臺灣全市場半導體指數","4,362.03","-","99.77","-2.24","",
"臺灣電動車與自駕科技永續概念指數","3,867.41","-","60.40","-1.54","",
"臺灣智慧移動與電動車指數","3,532.87","-","37.39","-1.05","",
"特選小資高價30指數","4,070.30","-","63.67","-1.54","",
"特選臺灣綠能及電動車指數","4,189.55","-","60.04","-1.41","",
"特選臺灣智能車供應鏈聯盟指數","3,960.22","-","71.69","-1.78","",
"臺灣全市場半導體精選30指數","3,430.04","-","78.32","-2.23","",
"特選臺灣高股息30指數","3,630.40","-","47.65","-1.30","",
"臺灣友善環境指數","4,313.31","-","83.15","-1.89","",
"台灣永續價值指數","4,085.86","-","84.80","-2.03","",
"特選臺灣IC設計指數","2,495.05","-","41.90","-1.65","",
"特選臺灣環境永續高股息指數","3,782.49","-","42.29","-1.11","",
"臺灣友善環境50指數","3,746.97","-","78.48","-2.05","",
"特選台灣策略高股息30指數","3,547.35","-","54.18","-1.50","",
"特選臺灣IC設計產業代表指數","2,964.71","-","31.26","-1.04","",
"特選臺灣綠能指數","4,630.11","-","49.03","-1.05","",
"特選臺灣成長高股息指數","3,523.89","-","49.24","-1.38","",
"特選臺灣智慧50指數","3,575.27","-","69.92","-1.92","",
"特選臺灣標竿PCB指數","3,605.88","-","11.61","-0.32","",
"臺灣晶圓製造指數","3,971.62","-","90.47","-2.23","",
"臺灣精選高息指數","3,516.69","-","47.48","-1.33","",
"臺灣多因子優選高股息30指數","4,539.46","-","63.50","-1.38","",
"特選臺灣優利高填息30指數","4,188.00","-","50.96","-1.20","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","26,289.58","-","996.79","-3.65","",
"金融類日報酬反向一倍指數","5,000.98","+","89.71","1.83","",
"漲升股利150指數","7,452.36","-","106.95","-1.41","",
"藍籌30指數","6,920.44","-","123.67","-1.76","",
"工業菁英30指數","7,277.91","-","102.23","-1.39","",
"電子菁英30指數","7,027.57","-","61.73","-0.87","",
"低波動股利精選30指數","6,770.64","-","113.37","-1.65","",
"中小型A級動能50指數","13,064.10","-","35.30","-0.27","",
"特選高息低波指數","6,399.28","-","89.43","-1.38","",
"臺灣永續指數","7,329.55","-","149.82","-2.00","",
"特選內需高收益指數","5,738.84","-","51.53","-0.89","",
"價值投資指數","5,302.35","-","64.50","-1.20","",
"存股雙十等權重指數","6,469.67","-","53.77","-0.82","",
"特選大蘋果指數","6,265.85","-","49.09","-0.78","",
"中小型300指數","8,074.33","-","60.92","-0.75","",
"特股高息20指數","5,838.60","-","41.30","-0.70","",
"臺灣500指數","7,430.20","-","132.89","-1.76","",
"臺灣勞工權益指數","6,966.93","-","79.30","-1.13","",
"微波高息精選20指數","6,297.90","-","63.77","-1.00","",
"特選世代行動通訊指數","6,159.46","-","3.47","-0.06","",
"智慧投資多因子30指數","4,841.59","-","74.77","-1.52","",
"臺股期貨指數","7,504.47","-","143.72","-1.88","",
"特選價值成長指數","5,717.75","-","84.22","-1.45","",
"臺灣上櫃永續指數","5,527.41","-","81.76","-1.46","",
"特選台股領航指數","6,384.21","-","99.35","-1.53","",
"特選Smart多因子指數","5,340.13","-","105.11","-1.93","",
"特選ESG高股息指數","3,767.72","-","51.60","-1.35","",
"特選上櫃ESG成長指數","4,030.43","-","53.75","-1.32","",
"特選上櫃ESG電子菁英指數","4,118.00","-","70.52","-1.68","",
"新臺灣高股息指數","4,187.39","-","52.96","-1.25","",
"臺灣優息存股指數","4,592.37","-","64.89","-1.39","",
"特選上櫃ESG永續高股息指數","5,669.69","-","89.82","-1.56","",
"特選臺灣金融高股息存股指數","4,989.83","-","94.08","-1.85","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","23,022.47","-","406.20","-1.73","",
"發行量加權股價報酬指數","29,838.10","-","551.24","-1.81","",
"臺灣公司治理100報酬指數","11,286.07","-","256.12","-2.22","",
"臺灣50報酬指數","22,937.35","-","563.25","-2.40","",
"臺灣50權重上限30%報酬指數","22,012.58","-","472.72","-2.10","",
"臺灣中型100報酬指數","24,359.51","-","190.23","-0.77","",
"臺灣資訊科技股報酬指數","36,365.84","-","954.26","-2.56","",
"臺灣發達報酬指數","18,424.65","-","149.99","-0.81","",
"臺灣高股息報酬指數","16,408.73","-","133.49","-0.81","",
"臺灣就業99報酬指數","13,630.62","-","210.39","-1.52","",
"臺灣高薪100報酬指數","11,453.02","-","191.93","-1.65","",
"未含金融電子報酬指數","30,007.94","-","353.20","-1.16","",
"小型股300報酬指數","10,753.91","-","79.50","-0.73","",
"水泥類報酬指數","342.68","-","0.26","-0.08","",
"食品類報酬指數","2,865.36","-","9.78","-0.34","",
"塑膠類報酬指數","423.34","-","6.54","-1.52","",
"紡織纖維類報酬指數","926.72","-","0.93","-0.10","",
"電機機械類報酬指數","328.45","-","1.87","-0.57","",
"電器電纜類報酬指數","140.27","-","1.28","-0.90","",
"化學生技醫療類報酬指數","185.90","-","3.53","-1.86","",
"化學類報酬指數","228.21","-","2.41","-1.05","",
"生技醫療類報酬指數","99.96","-","2.73","-2.66","",
"玻璃陶瓷類報酬指數","55.24","-","1.63","-2.87","",
"造紙類報酬指數","454.24","-","7.57","-1.64","",
"鋼鐵類報酬指數","227.86","-","2.53","-1.10","",
"橡膠類報酬指數","382.99","-","5.62","-1.45","",
"汽車類報酬指數","514.95","-","9.38","-1.79","",
"電子工業類報酬指數","1,241.74","-","26.78","-2.11","",
"半導體類報酬指數","546.08","-","16.52","-2.94","",
"電腦及週邊設備類報酬指數","263.53","-","3.12","-1.17","",
"光電類報酬指數","49.32","+","0.23","0.47","",
"通信網路類報酬指數","279.90","-","1.18","-0.42","",
"電子零組件類報酬指數","280.11","-","1.40","-0.50","",
"電子通路類報酬指數","405.87","-","2.08","-0.51","",
"資訊服務類報酬指數","289.80","-","1.06","-0.36","",
"其他電子類報酬指數","158.44","-","2.83","-1.75","",
"建材營造類報酬指數","704.89","-","4.27","-0.60","",
"航運類報酬指數","276.99","-","3.06","-1.09","",
"觀光類報酬指數","135.21","-","0.54","-0.40","",
"金融保險類報酬指數","2,669.13","-","49.66","-1.83","",
"貿易百貨類報酬指數","433.02","-","5.72","-1.30","",
"油電燃氣類報酬指數","168.43","-","3.42","-1.99","",
"其他類報酬指數","575.07","-","7.35","-1.26","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,947.48","-","21.12","-0.43","",
"臺灣中小型公司治理報酬指數","8,442.31","-","44.13","-0.52","",
"臺灣IPO報酬指數","5,914.30","-","149.62","-2.47","",
"智慧中立報酬指數","4,165.84","-","0.73","-0.02","",
"加權指數掩護性臺指買權價外5%報酬指數","6,497.65","-","120.00","-1.81","",
"臺灣5G報酬指數","7,725.66","-","115.68","-1.48","",
"臺灣企業社會責任中小型報酬指數","8,826.38","-","83.40","-0.94","",
"特選臺灣電動車代表報酬指數","6,264.10","-","41.26","-0.65","",
"臺灣5G+通訊報酬指數","5,756.57","-","103.72","-1.77","",
"臺灣全市場報酬指數","5,246.66","-","98.71","-1.85","",
"臺灣全市場半導體報酬指數","4,687.67","-","107.05","-2.23","",
"臺灣電動車與自駕科技永續概念報酬指數","4,190.80","-","65.45","-1.54","",
"臺灣智慧移動與電動車報酬指數","3,827.80","-","40.52","-1.05","",
"特選小資高價30報酬指數","4,336.91","-","65.48","-1.49","",
"特選臺灣綠能及電動車報酬指數","4,547.20","-","65.17","-1.41","",
"特選臺灣智能車供應鏈聯盟報酬指數","4,242.54","-","76.79","-1.78","",
"臺灣全市場半導體精選30報酬指數","3,622.02","-","82.71","-2.23","",
"特選臺灣高股息30報酬指數","4,140.71","-","54.35","-1.30","",
"臺灣友善環境報酬指數","4,565.98","-","88.02","-1.89","",
"台灣永續價值報酬指數","4,266.41","-","88.55","-2.03","",
"特選臺灣IC設計報酬指數","2,673.74","-","44.90","-1.65","",
"特選臺灣環境永續高股息報酬指數","4,247.34","-","47.49","-1.11","",
"臺灣友善環境50報酬指數","3,948.95","-","82.70","-2.05","",
"特選台灣策略高股息30報酬指數","4,035.96","-","61.65","-1.50","",
"特選臺灣IC設計產業代表報酬指數","3,171.79","-","33.45","-1.04","",
"特選臺灣綠能報酬指數","4,843.86","-","51.29","-1.05","",
"特選臺灣成長高股息報酬指數","4,005.06","-","55.97","-1.38","",
"特選臺灣智慧50報酬指數","3,805.98","-","73.43","-1.89","",
"特選臺灣標竿PCB報酬指數","3,764.86","-","12.12","-0.32","",
"臺灣晶圓製造報酬指數","4,150.59","-","94.55","-2.23","",
"臺灣精選高息報酬指數","3,961.71","-","53.49","-1.33","",
"臺灣多因子優選高股息30報酬指數","4,884.29","-","68.33","-1.38","",
"特選臺灣優利高填息30報酬指數","4,544.18","-","55.29","-1.20","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","10,001.75","-","143.10","-1.41","",
"藍籌30報酬指數","8,783.47","-","155.33","-1.74","",
"工業菁英30報酬指數","9,292.82","-","130.54","-1.39","",
"電子菁英30報酬指數","8,701.74","-","76.43","-0.87","",
"低波動股利精選30報酬指數","8,777.34","-","146.98","-1.65","",
"中小型A級動能50報酬指數","15,463.69","-","41.79","-0.27","",
"特選高息低波報酬指數","8,877.18","-","124.06","-1.38","",
