"111年07月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","15,902.77","-","422.05","-2.59","",
"發行量加權股價指數","13,985.51","-","363.69","-2.53","",
"臺灣公司治理100指數","7,993.93","-","215.07","-2.62","",
"臺灣50指數","10,600.75","-","286.32","-2.63","",
"臺灣50權重上限30%指數","10,186.08","-","283.41","-2.71","",
"臺灣中型100指數","11,939.08","-","294.25","-2.41","",
"臺灣資訊科技指數","17,417.47","-","445.99","-2.50","",
"臺灣發達指數","9,758.06","-","282.46","-2.81","",
"臺灣高股息指數","5,873.25","-","165.68","-2.74","",
"臺灣就業99指數","8,565.49","-","250.81","-2.84","",
"臺灣高薪100指數","7,831.36","-","246.69","-3.05","",
"未含金融指數","11,937.03","-","305.81","-2.50","",
"未含電子指數","17,264.38","-","486.86","-2.74","",
"未含金融電子指數","14,396.72","-","403.08","-2.72","",
"小型股300指數","7,798.96","-","209.01","-2.61","",
"水泥窯製類指數","620.14","-","10.14","-1.61","",
"塑膠化工類指數","801.75","-","57.99","-6.75","",
"機電類指數","3,512.10","-","85.35","-2.37","",
"水泥類指數","165.08","-","2.22","-1.33","",
"食品類指數","1,877.32","+","0.01","--","",
"塑膠類指數","234.40","-","23.05","-8.95","",
"紡織纖維類指數","535.10","-","6.77","-1.25","",
"電機機械類指數","225.77","-","3.83","-1.67","",
"電器電纜類指數","85.77","-","2.86","-3.23","",
"化學生技醫療類指數","110.87","-","2.84","-2.50","",
"化學類指數","129.27","-","4.12","-3.09","",
"生技醫療類指數","65.07","-","1.17","-1.77","",
"玻璃陶瓷類指數","45.73","-","1.69","-3.56","",
"造紙類指數","294.72","-","4.49","-1.50","",
"鋼鐵類指數","134.27","-","2.68","-1.96","",
"橡膠類指數","243.14","-","5.64","-2.27","",
"汽車類指數","321.74","-","6.76","-2.06","",
"電子工業類指數","626.04","-","15.29","-2.38","",
"半導體類指數","293.14","-","7.64","-2.54","",
"電腦及週邊設備類指數","114.58","-","3.89","-3.28","",
"光電類指數","30.10","-","0.61","-1.99","",
"通信網路類指數","137.63","-","0.16","-0.12","",
"電子零組件類指數","136.17","-","4.38","-3.12","",
"電子通路類指數","162.88","-","3.73","-2.24","",
"資訊服務類指數","119.69","-","1.90","-1.56","",
"其他電子類指數","91.70","-","1.88","-2.01","",
"建材營造類指數","344.64","-","5.67","-1.62","",
"航運類指數","190.17","-","4.40","-2.26","",
"觀光類指數","96.56","-","1.99","-2.02","",
"金融保險類指數","1,523.37","-","43.67","-2.79","",
"貿易百貨類指數","295.86","+","5.20","1.79","",
"油電燃氣類指數","118.24","-","3.71","-3.04","",
"其他類指數","343.24","-","5.18","-1.49","",
"臺指日報酬兩倍指數","24,936.11","-","1,331.54","-5.07","",
"臺指反向一倍指數","4,988.51","+","123.31","2.53","",
"電子類兩倍槓桿指數","22,194.81","-","1,111.28","-4.77","",
"電子類反向指數","4,725.47","+","110.04","2.38","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,858.20","-","74.86","-1.90","",
"臺灣中小型公司治理指數","5,993.94","-","146.82","-2.39","",
"臺灣IPO指數","5,067.37","-","147.74","-2.83","",
"智慧中立指數","3,759.07","+","10.71","0.29","",
"臺灣5G指數","6,678.92","-","165.17","-2.41","",
"臺灣企業社會責任中小型指數","7,308.54","-","209.80","-2.79","",
"特選臺灣電動車代表指數","5,031.50","-","106.05","-2.06","",
"臺灣5G+通訊指數","5,060.58","-","140.71","-2.71","",
"臺灣全市場指數","4,688.28","-","126.15","-2.62","",
"臺灣全市場半導體指數","4,184.27","-","135.27","-3.13","",
"臺灣電動車與自駕科技永續概念指數","3,589.52","-","114.78","-3.10","",
"臺灣智慧移動與電動車指數","3,466.84","-","152.54","-4.21","",
"特選小資高價30指數","3,808.52","-","112.48","-2.87","",
"特選臺灣綠能及電動車指數","3,933.15","-","116.02","-2.87","",
"特選臺灣智能車供應鏈聯盟指數","3,670.14","-","93.65","-2.49","",
"臺灣全市場半導體精選30指數","3,299.16","-","106.61","-3.13","",
