"111年10月18日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","15,005.03","+","171.11","1.15","",
"發行量加權股價指數","13,124.68","+","158.63","1.22","",
"臺灣公司治理100指數","7,467.41","+","106.41","1.45","",
"臺灣50指數","9,895.28","+","151.52","1.56","",
"臺灣50權重上限30%指數","9,510.67","+","119.54","1.27","",
"臺灣中型100指數","11,629.19","+","62.70","0.54","",
"臺灣資訊科技指數","16,705.20","+","260.14","1.58","",
"臺灣發達指數","8,843.71","+","78.51","0.90","",
"臺灣高股息指數","5,512.61","+","8.29","0.15","",
"臺灣就業99指數","8,139.86","+","74.64","0.93","",
"臺灣高薪100指數","7,327.24","+","69.04","0.95","",
"未含金融指數","11,243.63","+","137.44","1.24","",
"未含電子指數","15,771.51","+","177.57","1.14","",
"未含金融電子指數","13,144.63","+","148.82","1.15","",
"小型股300指數","7,545.71","+","73.54","0.98","",
"水泥窯製類指數","552.80","+","0.33","0.06","",
"塑膠化工類指數","757.66","+","12.17","1.63","",
"機電類指數","3,353.57","+","42.58","1.29","",
"水泥類指數","142.90","-","0.78","-0.54","",
"食品類指數","1,763.48","-","1.54","-0.09","",
"塑膠類指數","223.46","+","4.50","2.06","",
"紡織纖維類指數","539.82","+","7.82","1.47","",
"電機機械類指數","200.30","+","3.35","1.70","",
"電器電纜類指數","85.35","+","0.50","0.59","",
"化學生技醫療類指數","103.02","+","1.06","1.04","",
"化學類指數","118.79","+","1.23","1.05","",
"生技醫療類指數","60.97","+","0.63","1.04","",
"玻璃陶瓷類指數","49.32","+","1.80","3.79","",
"造紙類指數","288.46","+","3.77","1.32","",
"鋼鐵類指數","127.37","+","0.93","0.74","",
"橡膠類指數","227.86","+","1.19","0.52","",
"汽車類指數","305.83","+","2.18","0.72","",
"電子工業類指數","598.73","+","7.58","1.28","",
"半導體類指數","273.43","+","5.55","2.07","",
"電腦及週邊設備類指數","112.69","+","0.33","0.29","",
"光電類指數","31.22","+","0.06","0.19","",
"通信網路類指數","121.92","+","0.05","0.04","",
"電子零組件類指數","143.33","+","1.50","1.06","",
"電子通路類指數","160.25","+","0.42","0.26","",
"資訊服務類指數","117.90","+","0.52","0.44","",
"其他電子類指數","94.33","-","0.98","-1.03","",
"建材營造類指數","333.83","+","1.40","0.42","",
"航運類指數","146.44","+","2.32","1.61","",
"觀光類指數","97.02","-","0.08","-0.08","",
"金融保險類指數","1,393.46","+","15.48","1.12","",
"貿易百貨類指數","258.02","+","2.91","1.14","",
"油電燃氣類指數","104.23","+","0.54","0.52","",
"其他類指數","319.66","+","5.47","1.74","",
"臺指日報酬兩倍指數","21,678.65","+","517.78","2.45","",
"臺指反向一倍指數","5,248.53","-","65.01","-1.22","",
"電子類兩倍槓桿指數","19,904.34","+","497.68","2.56","",
"電子類反向指數","4,845.87","-","62.94","-1.28","",
