"111年06月27日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","17,719.20","+","289.85","1.66","",
"發行量加權股價指數","15,548.01","+","244.69","1.60","",
"臺灣公司治理100指數","8,968.69","+","129.48","1.46","",
"臺灣50指數","11,901.84","+","194.25","1.66","",
"臺灣50權重上限30%指數","11,373.52","+","160.24","1.43","",
"臺灣中型100指數","13,247.98","+","206.31","1.58","",
"臺灣資訊科技指數","19,882.56","+","423.57","2.18","",
"臺灣發達指數","10,586.14","+","114.64","1.09","",
"臺灣高股息指數","6,524.28","+","36.38","0.56","",
"臺灣就業99指數","9,475.72","+","100.67","1.07","",
"臺灣高薪100指數","8,722.88","+","82.29","0.95","",
"未含金融指數","13,321.85","+","238.84","1.83","",
"未含電子指數","18,717.76","+","169.45","0.91","",
"未含金融電子指數","15,621.22","+","201.60","1.31","",
"小型股300指數","8,547.47","+","143.13","1.70","",
"水泥窯製類指數","635.09","+","7.39","1.18","",
"塑膠化工類指數","928.44","+","5.82","0.63","",
"機電類指數","3,969.23","+","80.30","2.06","",
"水泥類指數","165.13","+","1.28","0.78","",
"食品類指數","1,844.48","+","4.14","0.22","",
"塑膠類指數","284.15","+","0.92","0.32","",
"紡織纖維類指數","575.61","+","7.55","1.33","",
"電機機械類指數","244.41","+","4.29","1.79","",
"電器電纜類指數","96.01","+","1.44","1.52","",
"化學生技醫療類指數","118.33","+","1.79","1.54","",
"化學類指數","141.86","+","2.43","1.74","",
"生技醫療類指數","67.05","+","0.83","1.25","",
"玻璃陶瓷類指數","54.63","+","1.91","3.62","",
"造紙類指數","328.45","+","2.74","0.84","",
"鋼鐵類指數","141.16","+","2.55","1.84","",
"橡膠類指數","252.87","+","1.65","0.66","",
"汽車類指數","340.35","+","4.58","1.36","",
"電子工業類指數","708.39","+","14.41","2.08","",
"半導體類指數","338.12","+","8.36","2.54","",
"電腦及週邊設備類指數","127.73","+","1.30","1.03","",
"光電類指數","32.58","+","0.94","2.97","",
"通信網路類指數","140.69","+","0.06","0.04","",
"電子零組件類指數","156.80","+","3.41","2.22","",
"電子通路類指數","179.30","+","1.69","0.95","",
"資訊服務類指數","125.19","+","0.86","0.69","",
"其他電子類指數","101.33","+","1.14","1.14","",
"建材營造類指數","359.75","+","2.88","0.81","",
"航運類指數","213.37","+","6.73","3.26","",
"觀光類指數","100.47","+","1.61","1.63","",
"金融保險類指數","1,648.57","+","0.29","0.02","",
"貿易百貨類指數","291.18","+","2.74","0.95","",
"油電燃氣類指數","124.14","+","0.29","0.23","",
"其他類指數","377.32","+","5.10","1.37","",
"臺指日報酬兩倍指數","30,911.04","+","957.86","3.20","",
"臺指反向一倍指數","4,499.88","-","73.12","-1.60","",
"電子類兩倍槓桿指數","28,535.58","+","1,137.79","4.15","",
"電子類反向指數","4,192.38","-","88.90","-2.08","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,230.80","-","10.02","-0.24","",
"臺灣中小型公司治理指數","6,813.50","+","128.60","1.92","",
"臺灣IPO指數","5,879.92","+","185.54","3.26","",
"智慧中立指數","3,847.32","+","12.79","0.33","",
"臺灣5G指數","7,544.57","+","129.27","1.74","",
"臺灣企業社會責任中小型指數","8,143.25","+","93.10","1.16","",
"特選臺灣電動車代表指數","5,532.74","+","69.51","1.27","",
"臺灣5G+通訊指數","5,693.36","+","95.30","1.70","",
"臺灣全市場指數","5,249.69","+","90.33","1.75","",
"臺灣全市場半導體指數","4,916.63","+","133.99","2.80","",
"臺灣電動車與自駕科技永續概念指數","4,144.55","+","80.67","1.99","",
"臺灣智慧移動與電動車指數","3,925.98","+","77.21","2.01","",
"特選小資高價30指數","4,409.02","+","118.56","2.76","",
"特選臺灣綠能及電動車指數","4,409.45","+","63.77","1.47","",
"特選臺灣智能車供應鏈聯盟指數","4,166.28","+","79.00","1.93","",
"臺灣全市場半導體精選30指數","3,882.70","+","109.35","2.90","",
"特選臺灣高股息30指數","4,351.88","+","28.52","0.66","",
"臺灣友善環境指數","4,702.94","+","79.14","1.71","",
"台灣永續價值指數","4,362.25","+","49.80","1.15","",
"特選臺灣IC設計指數","3,124.30","+","89.87","2.96","",
"特選臺灣環境永續高股息指數","4,362.84","+","50.50","1.17","",
"臺灣友善環境50指數","4,109.36","+","64.43","1.59","",
"特選台灣策略高股息30指數","4,188.50","+","62.49","1.51","",
"特選臺灣IC設計產業代表指數","3,514.51","+","127.50","3.76","",
"特選臺灣綠能指數","4,609.80","+","45.88","1.01","",
"特選臺灣成長高股息指數","4,135.07","+","57.23","1.40","",
"特選臺灣智慧50指數","4,097.84","+","85.87","2.14","",
"特選臺灣標竿PCB指數","4,035.46","+","132.04","3.38","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","30,444.29","+","10.71","0.04","",
"金融類日報酬反向一倍指數","4,694.75","-","0.83","-0.02","",
"漲升股利150指數","8,244.19","+","113.54","1.40","",
"藍籌30指數","7,582.61","+","96.91","1.29","",
"工業菁英30指數","8,068.24","+","136.15","1.72","",
"電子菁英30指數","7,483.06","+","145.92","1.99","",
"低波動股利精選30指數","7,044.26","+","32.36","0.46","",
"中小型A級動能50指數","13,765.20","+","250.53","1.85","",
