"111年07月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,323.08","-","133.78","-0.81","",
"發行量加權股價指數","14,340.53","-","124.00","-0.86","",
"臺灣公司治理100指數","8,224.03","-","79.00","-0.95","",
"臺灣50指數","10,949.23","-","108.30","-0.98","",
"臺灣50權重上限30%指數","10,440.85","-","100.45","-0.95","",
"臺灣中型100指數","12,193.01","-","113.28","-0.92","",
"臺灣資訊科技指數","18,284.49","-","198.75","-1.08","",
"臺灣發達指數","9,808.94","-","36.88","-0.37","",
"臺灣高股息指數","6,067.13","-","16.80","-0.28","",
"臺灣就業99指數","8,654.77","-","84.90","-0.97","",
"臺灣高薪100指數","7,967.24","-","62.93","-0.78","",
"未含金融指數","12,301.47","-","99.24","-0.80","",
"未含電子指數","17,283.57","-","117.93","-0.68","",
"未含金融電子指數","14,482.66","-","61.78","-0.42","",
"小型股300指數","7,956.14","-","37.26","-0.47","",
"水泥窯製類指數","629.04","+","0.99","0.16","",
"塑膠化工類指數","788.09","-","6.32","-0.80","",
"機電類指數","3,658.58","-","36.00","-0.97","",
"水泥類指數","167.58","+","0.90","0.54","",
"食品類指數","1,866.77","+","6.98","0.38","",
"塑膠類指數","227.28","-","2.42","-1.05","",
"紡織纖維類指數","543.38","+","0.48","0.09","",
"電機機械類指數","228.59","-","2.28","-0.99","",
"電器電纜類指數","85.71","-","0.12","-0.14","",
"化學生技醫療類指數","111.66","+","0.16","0.14","",
"化學類指數","131.35","-","0.14","-0.11","",
"生技醫療類指數","64.82","+","0.30","0.46","",
"玻璃陶瓷類指數","46.12","-","1.19","-2.52","",
"造紙類指數","294.26","-","0.64","-0.22","",
"鋼鐵類指數","135.93","-","0.83","-0.61","",
"橡膠類指數","245.03","-","3.62","-1.46","",
"汽車類指數","324.43","+","0.78","0.24","",
"電子工業類指數","652.87","-","6.47","-0.98","",
"半導體類指數","309.34","-","3.71","-1.19","",
"電腦及週邊設備類指數","118.54","+","0.52","0.44","",
"光電類指數","31.13","-","0.66","-2.08","",
"通信網路類指數","135.40","-","0.75","-0.55","",
"電子零組件類指數","143.74","-","1.29","-0.89","",
"電子通路類指數","166.30","-","1.46","-0.87","",
"資訊服務類指數","120.29","-","0.37","-0.31","",
"其他電子類指數","92.88","-","0.75","-0.80","",
"建材營造類指數","343.65","-","2.63","-0.76","",
"航運類指數","201.87","+","1.01","0.50","",
"觀光類指數","96.50","-","0.41","-0.42","",
"金融保險類指數","1,508.03","-","19.31","-1.26","",
"貿易百貨類指數","293.43","-","3.72","-1.25","",
"油電燃氣類指數","115.08","-","2.06","-1.76","",
"其他類指數","346.28","-","1.19","-0.34","",
"臺指日報酬兩倍指數","26,198.46","-","457.02","-1.71","",
"臺指反向一倍指數","4,861.21","+","41.32","0.86","",
"電子類兩倍槓桿指數","24,097.59","-","482.40","-1.96","",
"電子類反向指數","4,523.18","+","43.95","0.98","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,920.37","+","33.18","0.85","",
"臺灣中小型公司治理指數","6,198.33","-","71.19","-1.14","",
"臺灣IPO指數","5,187.17","-","80.11","-1.52","",
"智慧中立指數","3,777.45","-","13.42","-0.35","",
"臺灣5G指數","6,952.04","-","71.22","-1.01","",
"臺灣企業社會責任中小型指數","7,443.01","-","55.55","-0.74","",
"特選臺灣電動車代表指數","5,182.44","-","77.18","-1.47","",
"臺灣5G+通訊指數","5,272.33","-","49.43","-0.93","",
"臺灣全市場指數","4,827.28","-","42.32","-0.87","",
"臺灣全市場半導體指數","4,395.75","-","60.15","-1.35","",
"臺灣電動車與自駕科技永續概念指數","3,781.07","-","30.83","-0.81","",
"臺灣智慧移動與電動車指數","3,608.71","-","34.33","-0.94","",
"特選小資高價30指數","4,013.52","-","41.91","-1.03","",
"特選臺灣綠能及電動車指數","4,026.57","-","41.41","-1.02","",
"特選臺灣智能車供應鏈聯盟指數","3,834.04","-","43.62","-1.12","",
"臺灣全市場半導體精選30指數","3,471.73","-","49.82","-1.41","",
"特選臺灣高股息30指數","3,814.55","-","27.14","-0.71","",
"臺灣友善環境指數","4,285.71","-","43.16","-1.00","",
"台灣永續價值指數","4,008.49","-","42.55","-1.05","",
"特選臺灣IC設計指數","2,759.99","-","49.60","-1.77","",
"特選臺灣環境永續高股息指數","4,005.33","-","37.71","-0.93","",
"臺灣友善環境50指數","3,750.70","-","36.83","-0.97","",
"特選台灣策略高股息30指數","3,790.74","-","23.90","-0.63","",
"特選臺灣IC設計產業代表指數","3,004.30","-","62.75","-2.05","",
"特選臺灣綠能指數","4,465.79","-","2.98","-0.07","",
"特選臺灣成長高股息指數","3,734.59","-","35.60","-0.94","",
"特選臺灣智慧50指數","3,712.30","-","37.80","-1.01","",
"特選臺灣標竿PCB指數","3,552.48","-","32.99","-0.92","",
"臺灣晶圓製造指數","3,925.01","-","44.15","-1.11","",
"臺灣精選高息指數","3,752.17","-","26.77","-0.71","",
"臺灣多因子優選高股息30指數","4,527.63","-","24.47","-0.54","",
"特選臺灣優利高填息30指數","4,371.23","-","2.71","-0.06","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","25,422.61","-","659.51","-2.53","",
"金融類日報酬反向一倍指數","5,122.15","+","63.95","1.26","",
"漲升股利150指數","7,495.79","-","68.45","-0.90","",
"藍籌30指數","6,944.25","-","57.48","-0.82","",
"工業菁英30指數","7,277.21","-","62.93","-0.86","",
"電子菁英30指數","6,995.92","-","39.13","-0.56","",
"低波動股利精選30指數","6,657.81","-","54.08","-0.81","",
"中小型A級動能50指數","12,418.27","-","60.86","-0.49","",
"特選高息低波指數","6,486.36","-","7.26","-0.11","",
"臺灣永續指數","7,250.17","-","72.15","-0.99","",
"特選內需高收益指數","5,983.57","-","8.46","-0.14","",
"價值投資指數","5,753.28","-","51.78","-0.89","",
"存股雙十等權重指數","6,601.38","-","49.48","-0.74","",
"特選大蘋果指數","5,948.75","-","16.76","-0.28","",
