"111年06月09日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,944.59","-","37.18","-0.20","",
"發行量加權股價指數","16,621.34","-","49.17","-0.29","",
"臺灣公司治理100指數","9,619.56","-","41.39","-0.43","",
"臺灣50指數","12,846.78","-","57.44","-0.45","",
"臺灣50權重上限30%指數","12,254.25","-","50.69","-0.41","",
"臺灣中型100指數","14,078.62","-","42.16","-0.30","",
"臺灣資訊科技指數","21,886.94","-","84.20","-0.38","",
"臺灣發達指數","11,114.33","-","25.72","-0.23","",
"臺灣高股息指數","7,278.88","-","90.49","-1.23","",
"臺灣就業99指數","9,926.34","-","8.72","-0.09","",
"臺灣高薪100指數","9,262.29","-","35.40","-0.38","",
"未含金融指數","14,351.50","-","33.63","-0.23","",
"未含電子指數","19,471.06","-","74.90","-0.38","",
"未含金融電子指數","16,452.27","-","37.46","-0.23","",
"小型股300指數","8,877.27","+","21.13","0.24","",
"水泥窯製類指數","655.34","-","1.61","-0.25","",
"塑膠化工類指數","935.42","+","4.17","0.45","",
"機電類指數","4,315.94","-","8.74","-0.20","",
"水泥類指數","169.91","-","0.58","-0.34","",
"食品類指數","1,824.38","-","7.75","-0.42","",
"塑膠類指數","285.07","+","1.51","0.53","",
"紡織纖維類指數","585.71","+","1.55","0.27","",
"電機機械類指數","250.01","+","2.02","0.81","",
"電器電纜類指數","105.78","+","1.23","1.18","",
"化學生技醫療類指數","120.28","+","0.51","0.43","",
"化學類指數","148.99","+","0.99","0.67","",
"生技醫療類指數","65.21","+","0.05","0.08","",
"玻璃陶瓷類指數","57.33","+","0.19","0.33","",
"造紙類指數","333.35","+","1.38","0.42","",
"鋼鐵類指數","163.16","-","0.76","-0.46","",
"橡膠類指數","257.01","-","0.21","-0.08","",
"汽車類指數","330.93","+","0.21","0.06","",
"電子工業類指數","771.33","-","1.83","-0.24","",
"半導體類指數","377.16","-","1.98","-0.52","",
"電腦及週邊設備類指數","132.72","+","0.11","0.08","",
"光電類指數","35.40","+","0.41","1.17","",
"通信網路類指數","137.77","-","0.04","-0.03","",
"電子零組件類指數","170.76","+","0.78","0.46","",
"電子通路類指數","195.14","-","6.54","-3.24","",
"資訊服務類指數","129.34","+","0.19","0.15","",
"其他電子類指數","104.89","+","0.78","0.75","",
"建材營造類指數","369.39","-","0.69","-0.19","",
"航運類指數","267.05","-","7.27","-2.65","",
"觀光類指數","99.53","-","0.30","-0.30","",
"金融保險類指數","1,665.74","-","12.68","-0.76","",
"貿易百貨類指數","294.88","+","2.90","0.99","",
"油電燃氣類指數","126.20","+","1.06","0.85","",
"其他類指數","380.76","+","0.31","0.08","",
"臺指日報酬兩倍指數","35,427.32","-","210.23","-0.59","",
"臺指反向一倍指數","4,221.18","+","12.41","0.29","",
"電子類兩倍槓桿指數","33,948.97","-","161.47","-0.47","",
"電子類反向指數","3,863.37","+","9.12","0.24","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,074.89","+","47.03","1.17","",
"臺灣中小型公司治理指數","7,248.31","+","0.30","--","",
"臺灣IPO指數","6,635.98","+","61.98","0.94","",
"智慧中立指數","4,030.39","-","25.87","-0.64","",
"臺灣5G指數","8,574.17","-","31.06","-0.36","",
"臺灣企業社會責任中小型指數","8,532.11","-","11.96","-0.14","",
"特選臺灣電動車代表指數","5,755.19","+","25.11","0.44","",
"臺灣5G+通訊指數","6,313.32","-","2.99","-0.05","",
"臺灣全市場指數","5,639.46","-","16.67","-0.29","",
"臺灣全市場半導體指數","5,705.86","-","23.36","-0.41","",
"臺灣電動車與自駕科技永續概念指數","4,643.83","-","8.85","-0.19","",
"臺灣智慧移動與電動車指數","4,405.28","+","3.56","0.08","",
"特選小資高價30指數","4,909.86","-","7.54","-0.15","",
"特選臺灣綠能及電動車指數","4,699.85","+","2.70","0.06","",
"特選臺灣智能車供應鏈聯盟指數","4,592.07","+","0.09","--","",
"臺灣全市場半導體精選30指數","4,515.15","-","18.77","-0.41","",
"特選臺灣高股息30指數","4,710.68","-","28.52","-0.60","",
"臺灣友善環境指數","5,124.15","-","21.38","-0.42","",
"台灣永續價值指數","4,587.67","-","23.83","-0.52","",
"特選臺灣IC設計指數","3,736.94","-","37.61","-1.00","",
"特選臺灣環境永續高股息指數","4,612.86","-","65.15","-1.39","",
"臺灣友善環境50指數","4,500.23","-","17.51","-0.39","",
"特選台灣策略高股息30指數","4,559.93","-","37.43","-0.81","",
"特選臺灣IC設計產業代表指數","4,185.76","-","24.92","-0.59","",
"特選臺灣綠能指數","4,810.28","+","16.24","0.34","",
"特選臺灣成長高股息指數","4,533.51","-","42.57","-0.93","",
"特選臺灣智慧50指數","4,658.36","-","46.34","-0.98","",
"特選臺灣標竿PCB指數","4,566.42","+","17.57","0.39","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","31,148.47","-","477.86","-1.51","",
"金融類日報酬反向一倍指數","4,656.59","+","34.92","0.76","",
"漲升股利150指數","8,745.94","-","19.27","-0.22","",
"藍籌30指數","8,163.48","-","24.55","-0.30","",
"工業菁英30指數","8,903.40","-","19.23","-0.22","",
"電子菁英30指數","8,083.01","-","16.82","-0.21","",
"低波動股利精選30指數","7,172.43","-","57.96","-0.80","",
"中小型A級動能50指數","14,534.68","+","50.16","0.35","",
"特選高息低波指數","7,450.33","-","38.50","-0.51","",
"臺灣永續指數","8,474.56","-","35.39","-0.42","",
"特選內需高收益指數","6,331.12","-","14.06","-0.22","",
"價值投資指數","7,398.97","-","108.13","-1.44","",
"存股雙十等權重指數","7,992.54","-","97.20","-1.20","",
"特選大蘋果指數","6,927.36","+","45.05","0.65","",
"中小型300指數","9,087.31","+","1.41","0.02","",
"特股高息20指數","6,173.57","-","37.67","-0.61","",
