"111年10月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","15,553.12","+","323.66","2.13","",
"發行量加權股價指數","13,576.52","+","276.04","2.08","",
"臺灣公司治理100指數","7,707.38","+","157.72","2.09","",
"臺灣50指數","10,222.14","+","230.35","2.31","",
"臺灣50權重上限30%指數","9,765.54","+","203.92","2.13","",
"臺灣中型100指數","12,057.24","+","258.62","2.19","",
"臺灣資訊科技指數","17,262.64","+","488.05","2.91","",
"臺灣發達指數","9,158.48","+","131.63","1.46","",
"臺灣高股息指數","5,601.84","+","131.97","2.41","",
"臺灣就業99指數","8,277.89","+","142.17","1.75","",
"臺灣高薪100指數","7,486.17","+","122.06","1.66","",
"未含金融指數","11,633.24","+","259.53","2.28","",
"未含電子指數","16,337.80","+","180.68","1.12","",
"未含金融電子指數","13,634.22","+","179.23","1.33","",
"小型股300指數","7,828.03","+","153.23","2.00","",
"水泥窯製類指數","579.72","+","5.55","0.97","",
"塑膠化工類指數","795.96","+","9.38","1.19","",
"機電類指數","3,469.59","+","93.17","2.76","",
"水泥類指數","151.43","+","1.10","0.73","",
"食品類指數","1,785.40","-","3.74","-0.21","",
"塑膠類指數","232.09","+","1.55","0.67","",
"紡織纖維類指數","549.36","+","7.24","1.34","",
"電機機械類指數","212.47","+","7.18","3.50","",
"電器電纜類指數","93.41","+","2.06","2.26","",
"化學生技醫療類指數","111.57","+","2.59","2.38","",
"化學類指數","128.10","+","2.31","1.84","",
"生技醫療類指數","66.32","+","1.89","2.93","",
"玻璃陶瓷類指數","48.48","+","1.17","2.47","",
"造紙類指數","287.84","+","3.47","1.22","",
"鋼鐵類指數","128.76","+","3.52","2.81","",
"橡膠類指數","237.41","+","3.08","1.31","",
"汽車類指數","315.37","+","5.76","1.86","",
"電子工業類指數","618.74","+","16.53","2.74","",
"半導體類指數","285.95","+","8.92","3.22","",
"電腦及週邊設備類指數","117.38","+","2.44","2.12","",
"光電類指數","30.06","+","0.63","2.14","",
"通信網路類指數","126.62","+","1.44","1.15","",
"電子零組件類指數","144.17","+","4.16","2.97","",
"電子通路類指數","163.58","+","3.18","1.98","",
"資訊服務類指數","121.42","+","1.05","0.87","",
"其他電子類指數","94.76","+","1.57","1.68","",
"建材營造類指數","339.16","+","2.21","0.66","",
"航運類指數","157.72","+","1.80","1.15","",
"觀光類指數","102.31","+","1.10","1.09","",
"金融保險類指數","1,439.19","+","8.95","0.63","",
"貿易百貨類指數","266.99","+","0.92","0.35","",
"油電燃氣類指數","106.57","-","0.36","-0.34","",
"其他類指數","324.81","+","6.73","2.12","",
"臺指日報酬兩倍指數","23,287.83","+","928.11","4.15","",
"臺指反向一倍指數","5,092.90","-","107.94","-2.08","",
"電子類兩倍槓桿指數","21,396.84","+","1,113.51","5.49","",
"電子類反向指數","4,718.35","-","133.17","-2.74","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,040.58","+","84.48","2.14","",
"臺灣中小型公司治理指數","6,212.05","+","179.37","2.97","",
"臺灣IPO指數","4,580.72","+","143.44","3.23","",
"智慧中立指數","3,496.22","-","7.23","-0.21","",
"臺灣5G指數","6,463.06","+","198.48","3.17","",
"臺灣企業社會責任中小型指數","7,391.14","+","116.98","1.61","",
"特選臺灣電動車代表指數","5,354.46","+","95.26","1.81","",
"臺灣5G+通訊指數","4,981.74","+","147.78","3.06","",
"臺灣全市場指數","4,591.55","+","100.89","2.25","",
"臺灣全市場半導體指數","4,050.00","+","150.34","3.86","",
"臺灣電動車與自駕科技永續概念指數","3,646.29","+","121.47","3.45","",
"臺灣智慧移動與電動車指數","3,330.87","+","106.65","3.31","",
"特選小資高價30指數","3,811.20","+","132.80","3.61","",
"特選臺灣綠能及電動車指數","3,996.53","+","90.43","2.32","",
"特選臺灣智能車供應鏈聯盟指數","3,724.19","+","107.87","2.98","",
"臺灣全市場半導體精選30指數","3,180.23","+","124.43","4.07","",
"特選臺灣高股息30指數","3,491.21","+","71.80","2.10","",
"臺灣友善環境指數","4,066.69","+","82.23","2.06","",
"台灣永續價值指數","3,822.99","+","69.75","1.86","",
"特選臺灣IC設計指數","2,333.26","+","101.16","4.53","",
"特選臺灣環境永續高股息指數","3,660.12","+","79.20","2.21","",
"臺灣友善環境50指數","3,523.81","+","75.71","2.20","",
"特選台灣策略高股息30指數","3,394.34","+","72.23","2.17","",
"特選臺灣IC設計產業代表指數","2,754.26","+","124.52","4.74","",
"特選臺灣綠能指數","4,345.06","+","97.50","2.30","",
"特選臺灣成長高股息指數","3,370.79","+","67.19","2.03","",
"特選臺灣智慧50指數","3,275.47","+","89.10","2.80","",
"特選臺灣標竿PCB指數","3,321.21","+","105.09","3.27","",
"臺灣晶圓製造指數","3,672.78","+","139.57","3.95","",
"臺灣精選高息指數","3,362.57","+","74.88","2.28","",
"臺灣多因子優選高股息30指數","4,361.23","+","64.08","1.49","",
"特選臺灣優利高填息30指數","3,983.91","+","93.69","2.41","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","23,004.55","+","284.35","1.25","",
"金融類日報酬反向一倍指數","5,332.58","-","33.58","-0.63","",
"漲升股利150指數","7,109.35","+","133.51","1.91","",
"藍籌30指數","6,466.74","+","147.57","2.34","",
"工業菁英30指數","6,843.68","+","189.04","2.84","",
"電子菁英30指數","6,633.08","+","198.29","3.08","",
"低波動股利精選30指數","6,328.60","+","66.22","1.06","",
"中小型A級動能50指數","12,872.78","+","423.31","3.40","",
"特選高息低波指數","6,239.40","+","110.73","1.81","",
"臺灣永續指數","6,887.43","+","139.13","2.06","",
"特選內需高收益指數","5,503.80","+","47.11","0.86","",
"價值投資指數","5,077.34","+","177.35","3.62","",
"存股雙十等權重指數","6,064.43","+","118.60","1.99","",
"特選大蘋果指數","5,906.93","+","167.79","2.92","",
"中小型300指數","7,759.32","+","169.03","2.23","",
"特股高息20指數","5,607.50","+","18.92","0.34","",
"臺灣500指數","7,006.61","+","141.14","2.06","",
"臺灣勞工權益指數","6,645.98","+","73.87","1.12","",
"微波高息精選20指數","5,968.03","+","50.55","0.85","",
"特選世代行動通訊指數","5,755.22","+","169.28","3.03","",
"智慧投資多因子30指數","4,493.69","+","67.66","1.53","",
"臺股期貨指數","7,115.34","+","153.33","2.20","",
"特選價值成長指數","5,582.09","+","145.06","2.67","",
"臺灣上櫃永續指數","5,049.01","+","182.61","3.75","",
"特選台股領航指數","5,975.83","+","134.83","2.31","",
"特選Smart多因子指數","5,006.46","+","111.68","2.28","",
"特選ESG高股息指數","3,511.83","+","100.86","2.96","",
"特選上櫃ESG成長指數","3,659.22","+","144.22","4.10","",
"特選上櫃ESG電子菁英指數","3,726.42","+","155.92","4.37","",
"新臺灣高股息指數","4,042.88","+","80.74","2.04","",
"臺灣優息存股指數","4,380.31","+","36.82","0.85","",
"特選上櫃ESG永續高股息指數","5,216.49","+","161.81","3.20","",
"特選臺灣金融高股息存股指數","4,636.32","+","37.32","0.81","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","21,723.68","+","452.15","2.13","",
"發行量加權股價報酬指數","28,174.81","+","572.91","2.08","",
"臺灣公司治理100報酬指數","10,571.25","+","216.33","2.09","",
"臺灣50報酬指數","21,367.49","+","481.50","2.31","",
"臺灣50權重上限30%報酬指數","20,631.74","+","430.82","2.13","",
"臺灣中型100報酬指數","23,569.74","+","505.55","2.19","",
"臺灣資訊科技股報酬指數","33,879.76","+","957.85","2.91","",
"臺灣發達報酬指數","17,657.46","+","253.78","1.46","",
"臺灣高股息報酬指數","15,454.15","+","364.07","2.41","",
"臺灣就業99報酬指數","12,911.38","+","221.75","1.75","",
"臺灣高薪100報酬指數","10,791.35","+","175.95","1.66","",
"未含金融電子報酬指數","28,997.36","+","381.18","1.33","",
"小型股300報酬指數","10,364.35","+","202.88","2.00","",
"水泥類報酬指數","300.91","+","2.17","0.73","",
"食品類報酬指數","2,791.63","-","5.85","-0.21","",
"塑膠類報酬指數","425.98","+","2.85","0.67","",
"紡織纖維類報酬指數","898.67","+","11.84","1.34","",
"電機機械類報酬指數","320.95","+","10.85","3.50","",
"電器電纜類報酬指數","144.12","+","3.18","2.26","",
"化學生技醫療類報酬指數","175.03","+","4.07","2.38","",
"化學類報酬指數","215.52","+","3.89","1.84","",
"生技醫療類報酬指數","93.84","+","2.67","2.93","",
"玻璃陶瓷類報酬指數","61.29","+","1.48","2.47","",
"造紙類報酬指數","447.83","+","5.39","1.22","",
"鋼鐵類報酬指數","217.69","+","5.96","2.81","",
"橡膠類報酬指數","381.42","+","4.94","1.31","",
"汽車類報酬指數","506.18","+","9.26","1.86","",
"電子工業類報酬指數","1,161.80","+","31.05","2.75","",
"半導體類報酬指數","503.45","+","15.70","3.22","",
"電腦及週邊設備類報酬指數","259.04","+","5.37","2.12","",
"光電類報酬指數","44.40","+","0.94","2.16","",
"通信網路類報酬指數","265.74","+","3.01","1.15","",
"電子零組件類報酬指數","267.84","+","7.73","2.97","",
"電子通路類報酬指數","392.86","+","7.65","1.99","",
"資訊服務類報酬指數","283.20","+","2.44","0.87","",
"其他電子類報酬指數","153.29","+","2.55","1.69","",
"建材營造類報酬指數","681.56","+","4.43","0.65","",
"航運類報酬指數","252.03","+","2.88","1.16","",
"觀光類報酬指數","142.13","+","1.54","1.10","",
"金融保險類報酬指數","2,498.96","+","15.56","0.63","",
"貿易百貨類報酬指數","414.84","+","1.42","0.34","",
"油電燃氣類報酬指數","168.70","-","0.56","-0.33","",
"其他類報酬指數","552.13","+","11.45","2.12","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,475.50","+","93.58","2.14","",
"臺灣中小型公司治理報酬指數","8,159.17","+","235.59","2.97","",
"臺灣IPO報酬指數","5,347.89","+","167.46","3.23","",
"智慧中立報酬指數","4,046.56","-","8.38","-0.21","",
"加權指數掩護性臺指買權價外5%報酬指數","6,154.49","+","125.17","2.08","",
"臺灣5G報酬指數","7,225.69","+","221.90","3.17","",
"臺灣企業社會責任中小型報酬指數","8,592.56","+","135.99","1.61","",
"特選臺灣電動車代表報酬指數","6,025.91","+","107.21","1.81","",
"臺灣5G+通訊報酬指數","5,412.73","+","160.56","3.06","",
"臺灣全市場報酬指數","4,933.61","+","108.43","2.25","",
"臺灣全市場半導體報酬指數","4,370.13","+","162.22","3.86","",
"臺灣電動車與自駕科技永續概念報酬指數","3,963.54","+","132.05","3.45","",
"臺灣智慧移動與電動車報酬指數","3,610.68","+","115.60","3.31","",
"特選小資高價30報酬指數","4,078.28","+","142.10","3.61","",
"特選臺灣綠能及電動車報酬指數","4,344.80","+","98.31","2.32","",
"特選臺灣智能車供應鏈聯盟報酬指數","4,000.68","+","115.88","2.98","",
"臺灣全市場半導體精選30報酬指數","3,373.20","+","131.98","4.07","",
"特選臺灣高股息30報酬指數","4,012.19","+","82.52","2.10","",
"臺灣友善環境報酬指數","4,312.36","+","87.20","2.06","",
"台灣永續價值報酬指數","3,998.37","+","72.95","1.86","",
"特選臺灣IC設計報酬指數","2,529.01","+","109.65","4.53","",
"特選臺灣環境永續高股息報酬指數","4,109.93","+","88.93","2.21","",
"臺灣友善環境50報酬指數","3,723.18","+","80.00","2.20","",
"特選台灣策略高股息30報酬指數","3,894.10","+","82.86","2.17","",
"特選臺灣IC設計產業代表報酬指數","2,985.10","+","134.96","4.74","",
"特選臺灣綠能報酬指數","4,548.79","+","102.06","2.30","",
"特選臺灣成長高股息報酬指數","3,857.41","+","76.89","2.03","",
"特選臺灣智慧50報酬指數","3,500.84","+","95.23","2.80","",
"特選臺灣標竿PCB報酬指數","3,467.63","+","109.72","3.27","",
"臺灣晶圓製造報酬指數","3,864.21","+","146.85","3.95","",
"臺灣精選高息報酬指數","3,793.48","+","84.47","2.28","",
"臺灣多因子優選高股息30報酬指數","4,713.24","+","69.25","1.49","",
"特選臺灣優利高填息30報酬指數","4,336.61","+","101.99","2.41","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","9,552.04","+","179.38","1.91","",
"藍籌30報酬指數","8,231.75","+","187.85","2.34","",
"工業菁英30報酬指數","8,752.54","+","241.76","2.84","",
"電子菁英30報酬指數","8,259.59","+","246.91","3.08","",
"低波動股利精選30報酬指數","8,219.05","+","86.00","1.06","",
"中小型A級動能50報酬指數","15,251.41","+","501.53","3.40","",
"特選高息低波報酬指數","8,662.70","+","153.73","1.81","",
"臺灣永續報酬指數","8,766.04","+","177.08","2.06","",
"特選內需高收益報酬指數","7,026.27","+","60.14","0.86","",
"價值投資報酬指數","6,800.33","+","237.53","3.62","",
"存股雙十等權重報酬指數","7,659.98","+","149.81","1.99","",
"特選大蘋果報酬指數","7,075.96","+","201.00","2.92","",
"中小型300報酬指數","9,065.52","+","197.49","2.23","",
"特股高息20報酬指數","6,561.45","+","22.14","0.34","",
"臺灣500報酬指數","8,174.35","+","164.67","2.06","",
"臺灣勞工權益報酬指數","7,983.98","+","88.74","1.12","",
"微波高息精選20報酬指數","7,028.82","+","59.54","0.85","",
"特選世代行動通訊報酬指數","6,441.29","+","189.46","3.03","",
"智慧投資多因子30報酬指數","5,193.86","+","78.20","1.53","",
"特選大蘋果報酬正向兩倍指數","10,366.79","+","572.69","5.85","",
"特選大蘋果報酬反向一倍指數","8,108.13","-","244.19","-2.92","",
"特選價值成長報酬指數","6,668.32","+","173.30","2.67","",
"臺灣上櫃永續報酬指數","5,667.67","+","204.99","3.75","",
"特選台股領航報酬指數","6,766.52","+","152.67","2.31","",
"特選Smart多因子報酬指數","5,476.51","+","122.17","2.28","",
"特選ESG高股息報酬指數","3,887.79","+","111.65","2.96","",
"特選上櫃ESG成長報酬指數","3,896.49","+","153.57","4.10","",
"特選上櫃ESG電子菁英報酬指數","3,993.59","+","167.10","4.37","",
"新臺灣高股息報酬指數","4,392.02","+","87.72","2.04","",
"臺灣優息存股報酬指數","4,604.57","+","38.71","0.85","",
"特選上櫃ESG永續高股息報酬指數","5,394.36","+","167.32","3.20","",
"特選臺灣金融高股息存股報酬指數","4,792.88","+","38.58","0.81","",
"111年10月04日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","168,379,389,851","2,418,088,106","1,258,164",
"2.台灣存託憑證","23,530,276","6,230,928","1,378",
"3.受益憑證","0","0","0",
"4.ETF","13,324,664,746","906,492,423","178,658",
"5.受益證券","4,073,230","247,144","64",
"6.變更交易股票","10,849,827","1,608,657","688",
"7.認購(售)權證","2,080,727,150","2,077,891,000","65,167",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","10,128,820","2,420,000","311",
"14.創新板股票","2,192,400","24,000","21",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","168,392,432,078","2,419,720,763","1,258,873",
"總計(1~15)","183,835,556,300","5,413,002,258","1,504,451",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,883(16)","813(13)",
"下跌(跌停)","2,851(50)","96(0)",
"持平","312","47",
"未成交","15,265","2",
"無比價","2,237","1",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"111年10月04日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","7,833,142","9,472","819,071,391","104.55","104.80","104.10","104.80","+","2.60","104.75","46","104.80","163","0.00",
="0051","元大中型100","36,718","131","1,886,647","51.60","51.70","51.10","51.70","+","1.20","51.50","2","51.70","32","0.00",
="0052","富邦科技","436,397","478","38,271,598","86.80","88.15","86.80","87.90","+","2.45","87.85","1","87.90","5","0.00",
="0053","元大電子","6,913","863","353,152","51.25","51.25","51.15","51.20","+","1.15","51.15","5","51.55","13","0.00",
="0055","元大MSCI金融","143,878","263","3,074,736","21.34","21.49","21.26","21.44","+","0.18","21.44","6","21.45","1","0.00",
="0056","元大高股息","114,288,475","42,236","2,992,132,838","26.25","26.28","25.96","26.27","+","0.60","26.26","677","26.27","216","0.00",
="0057","富邦摩台","3,911","904","290,883","74.55","74.70","74.55","74.70","+","1.50","74.50","20","74.85","15","0.00",
="0061","元大寶滬深","183,682","678","3,359,106","18.11","18.38","18.11","18.38","+","0.38","18.35","71","18.38","6","0.00",
="006203","元大MSCI台灣","4,248","224","217,144","51.10","51.30","51.00","51.00","+","0.95","51.15","1","--","0","0.00",
="006204","永豐臺灣加權","23,940","829","1,689,252","70.40","70.65","70.40","70.65","+","1.40","70.55","2","70.65","2","0.00",
