"111年11月10日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","15,462.41","-","142.04","-0.91","",
"發行量加權股價指數","13,503.76","-","135.05","-0.99","",
"臺灣公司治理100指數","7,659.26","-","91.88","-1.19","",
"臺灣50指數","10,126.06","-","131.95","-1.29","",
"臺灣50權重上限30%指數","9,794.79","-","98.62","-1.00","",
"臺灣中型100指數","12,207.24","-","74.20","-0.60","",
"臺灣資訊科技指數","17,109.17","-","257.92","-1.49","",
"臺灣發達指數","9,161.98","-","35.43","-0.39","",
"臺灣高股息指數","5,734.08","-","21.16","-0.37","",
"臺灣就業99指數","8,486.82","-","72.30","-0.84","",
"臺灣高薪100指數","7,581.66","-","60.41","-0.79","",
"未含金融指數","11,557.01","-","116.99","-1.00","",
"未含電子指數","16,251.25","-","87.68","-0.54","",
"未含金融電子指數","13,511.85","-","50.70","-0.37","",
"小型股300指數","7,729.50","-","36.76","-0.47","",
"水泥窯製類指數","572.23","-","0.44","-0.08","",
"塑膠化工類指數","781.57","-","1.79","-0.23","",
"機電類指數","3,451.17","-","44.37","-1.27","",
"水泥類指數","144.92","-","0.35","-0.24","",
"食品類指數","1,777.38","-","8.44","-0.47","",
"塑膠類指數","234.79","+","0.06","0.03","",
"紡織纖維類指數","560.18","-","2.06","-0.37","",
"電機機械類指數","210.36","-","1.27","-0.60","",
"電器電纜類指數","95.06","+","0.34","0.36","",
"化學生技醫療類指數","102.97","-","0.62","-0.60","",
"化學類指數","121.27","-","0.84","-0.69","",
"生技醫療類指數","59.63","-","0.30","-0.50","",
"玻璃陶瓷類指數","57.27","+","0.44","0.77","",
"造紙類指數","298.89","-","0.29","-0.10","",
"鋼鐵類指數","129.09","-","0.89","-0.68","",
"橡膠類指數","226.48","-","2.12","-0.93","",
"汽車類指數","310.74","-","3.73","-1.19","",
"電子工業類指數","615.40","-","8.12","-1.30","",
"半導體類指數","280.96","-","4.44","-1.56","",
"電腦及週邊設備類指數","117.22","-","1.51","-1.27","",
"光電類指數","32.31","-","0.35","-1.07","",
"通信網路類指數","122.39","-","1.03","-0.83","",
"電子零組件類指數","152.51","-","0.73","-0.48","",
"電子通路類指數","162.42","-","0.46","-0.28","",
"資訊服務類指數","117.90","-","0.04","-0.03","",
"其他電子類指數","94.10","-","1.22","-1.28","",
"建材營造類指數","337.78","+","0.49","0.15","",
"航運類指數","154.15","+","0.81","0.53","",
"觀光類指數","99.30","-","0.10","-0.10","",
"金融保險類指數","1,443.87","-","13.20","-0.91","",
"貿易百貨類指數","257.68","-","2.24","-0.86","",
"油電燃氣類指數","108.01","-","1.03","-0.94","",
"其他類指數","322.70","-","2.18","-0.67","",
"臺指日報酬兩倍指數","22,902.80","-","462.73","-1.98","",
"臺指反向一倍指數","5,090.79","+","49.91","0.99","",
"電子類兩倍槓桿指數","20,949.14","-","560.23","-2.60","",
"電子類反向指數","4,696.62","+","60.38","1.30","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,849.08","-","8.15","-0.21","",
"臺灣中小型公司治理指數","6,286.06","-","34.17","-0.54","",
"臺灣IPO指數","4,327.76","-","40.51","-0.93","",
"智慧中立指數","3,480.11","-","4.87","-0.14","",
"臺灣5G指數","6,788.58","-","11.94","-0.18","",
"臺灣企業社會責任中小型指數","7,507.08","-","24.81","-0.33","",
"特選臺灣電動車代表指數","5,511.87","-","82.21","-1.47","",
"臺灣5G+通訊指數","5,072.73","-","39.92","-0.78","",
"臺灣全市場指數","4,563.04","-","44.80","-0.97","",
"臺灣全市場半導體指數","4,203.48","-","7.80","-0.19","",
"臺灣電動車與自駕科技永續概念指數","3,746.05","-","19.87","-0.53","",
"臺灣智慧移動與電動車指數","3,545.32","-","4.47","-0.13","",
"特選小資高價30指數","3,968.58","-","19.86","-0.50","",
"特選臺灣綠能及電動車指數","4,041.68","-","28.61","-0.70","",
"特選臺灣智能車供應鏈聯盟指數","3,796.94","-","40.50","-1.06","",
"臺灣全市場半導體精選30指數","3,323.35","-","0.60","-0.02","",
"特選臺灣高股息30指數","3,583.91","-","10.68","-0.30","",
"臺灣友善環境指數","4,097.27","-","38.15","-0.92","",
"台灣永續價值指數","3,809.17","-","44.41","-1.15","",
"特選臺灣IC設計指數","2,524.59","+","16.40","0.65","",
"特選臺灣環境永續高股息指數","3,762.38","-","24.24","-0.64","",
"臺灣友善環境50指數","3,564.42","-","29.16","-0.81","",
"特選台灣策略高股息30指數","3,511.65","-","9.09","-0.26","",
"特選臺灣IC設計產業代表指數","2,998.25","+","14.28","0.48","",
"特選臺灣綠能指數","4,344.09","-","28.68","-0.66","",
"特選臺灣成長高股息指數","3,590.57","+","3.05","0.09","",
"特選臺灣智慧50指數","3,410.29","-","6.33","-0.19","",
"特選臺灣標竿PCB指數","3,602.37","+","13.13","0.37","",
"臺灣晶圓製造指數","3,878.98","+","9.15","0.24","",
"臺灣精選高息指數","3,566.70","-","3.96","-0.11","",
"臺灣多因子優選高股息30指數","4,468.81","-","35.40","-0.79","",
"特選臺灣優利高填息30指數","4,164.37","-","1.34","-0.03","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","23,092.38","-","426.12","-1.81","",
"金融類日報酬反向一倍指數","5,301.34","+","47.60","0.91","",
"漲升股利150指數","7,252.00","-","51.52","-0.71","",
"藍籌30指數","6,547.10","-","49.77","-0.75","",
"工業菁英30指數","7,058.25","-","25.25","-0.36","",
"電子菁英30指數","6,833.96","-","45.15","-0.66","",
"低波動股利精選30指數","6,130.68","-","52.28","-0.85","",
"中小型A級動能50指數","12,873.98","-","200.93","-1.54","",
"特選高息低波指數","6,276.21","-","42.81","-0.68","",
"臺灣永續指數","6,880.97","-","74.49","-1.07","",
"特選內需高收益指數","5,480.48","-","26.35","-0.48","",
"價值投資指數","5,330.15","+","28.51","0.54","",
"存股雙十等權重指數","6,290.62","-","25.10","-0.40","",
"特選大蘋果指數","6,127.62","-","49.48","-0.80","",
"中小型300指數","7,777.83","-","53.38","-0.68","",
"特股高息20指數","5,506.49","-","12.11","-0.22","",
"臺灣500指數","6,984.62","-","66.60","-0.94","",
"臺灣勞工權益指數","6,768.27","-","39.69","-0.58","",
"微波高息精選20指數","5,935.66","-","26.78","-0.45","",
"特選世代行動通訊指數","5,601.78","-","33.72","-0.60","",
"智慧投資多因子30指數","4,453.79","-","38.20","-0.85","",
"臺股期貨指數","7,065.84","-","61.37","-0.86","",
"特選價值成長指數","5,957.10","+","4.16","0.07","",
"臺灣上櫃永續指數","5,182.26","+","29.41","0.57","",
"特選台股領航指數","6,114.59","-","44.22","-0.72","",
"特選Smart多因子指數","5,043.77","-","45.22","-0.89","",
"特選ESG高股息指數","3,748.29","+","4.43","0.12","",
"特選上櫃ESG成長指數","3,737.11","+","4.80","0.13","",
"特選上櫃ESG電子菁英指數","3,824.13","+","10.32","0.27","",
"新臺灣高股息指數","4,135.19","-","17.60","-0.42","",
"臺灣優息存股指數","4,392.08","-","21.44","-0.49","",
"特選上櫃ESG永續高股息指數","5,320.86","+","9.47","0.18","",
"特選臺灣金融高股息存股指數","4,674.02","-","44.49","-0.94","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","21,598.48","-","198.42","-0.91","",
"發行量加權股價報酬指數","28,025.33","-","280.28","-0.99","",
"臺灣公司治理100報酬指數","10,505.24","-","126.02","-1.19","",
"臺灣50報酬指數","21,166.66","-","275.82","-1.29","",
"臺灣50權重上限30%報酬指數","20,693.54","-","208.36","-1.00","",
"臺灣中型100報酬指數","23,865.90","-","145.08","-0.60","",
"臺灣資訊科技股報酬指數","33,578.61","-","506.21","-1.49","",
"臺灣發達報酬指數","17,664.21","-","68.30","-0.39","",
"臺灣高股息報酬指數","15,827.84","-","58.41","-0.37","",
"臺灣就業99報酬指數","13,237.25","-","112.76","-0.84","",
"臺灣高薪100報酬指數","10,929.00","-","87.08","-0.79","",
"未含金融電子報酬指數","28,741.04","-","107.84","-0.37","",
"小型股300報酬指數","10,234.15","-","48.68","-0.47","",
"水泥類報酬指數","287.98","-","0.69","-0.24","",
"食品類報酬指數","2,779.08","-","13.20","-0.47","",
"塑膠類報酬指數","430.93","+","0.10","0.02","",
"紡織纖維類報酬指數","916.38","-","3.35","-0.36","",
"電機機械類報酬指數","317.77","-","1.92","-0.60","",
"電器電纜類報酬指數","146.67","+","0.53","0.36","",
"化學生技醫療類報酬指數","161.54","-","0.97","-0.60","",
"化學類報酬指數","204.03","-","1.42","-0.69","",
"生技醫療類報酬指數","84.38","-","0.42","-0.50","",
"玻璃陶瓷類報酬指數","72.40","+","0.56","0.78","",
"造紙類報酬指數","465.03","-","0.44","-0.09","",
"鋼鐵類報酬指數","218.24","-","1.52","-0.69","",
"橡膠類報酬指數","363.86","-","3.41","-0.93","",
