"111年11月23日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,685.93","+","81.30","0.49","",
"發行量加權股價指數","14,608.54","+","66.34","0.46","",
"臺灣公司治理100指數","8,423.77","+","35.46","0.42","",
"臺灣50指數","11,319.94","+","40.71","0.36","",
"臺灣50權重上限30%指數","10,697.20","+","43.80","0.41","",
"臺灣中型100指數","12,639.36","+","63.23","0.50","",
"臺灣資訊科技指數","19,458.66","+","29.04","0.15","",
"臺灣發達指數","9,470.02","+","44.35","0.47","",
"臺灣高股息指數","5,880.95","+","12.83","0.22","",
"臺灣就業99指數","8,959.69","+","72.86","0.82","",
"臺灣高薪100指數","8,026.35","+","58.11","0.73","",
"未含金融指數","12,559.27","+","42.34","0.34","",
"未含電子指數","16,873.39","+","143.06","0.86","",
"未含金融電子指數","13,975.79","+","89.99","0.65","",
"小型股300指數","7,981.90","+","56.74","0.72","",
"水泥窯製類指數","600.55","+","0.51","0.08","",
"塑膠化工類指數","821.19","+","6.16","0.76","",
"機電類指數","3,827.43","+","8.42","0.22","",
"水泥類指數","150.60","-","0.11","-0.07","",
"食品類指數","1,766.41","+","7.31","0.42","",
"塑膠類指數","245.14","+","0.81","0.33","",
"紡織纖維類指數","558.21","+","2.21","0.40","",
"電機機械類指數","215.28","+","1.92","0.90","",
"電器電纜類指數","98.54","+","0.67","0.68","",
"化學生技醫療類指數","111.23","+","2.10","1.92","",
"化學類指數","125.59","+","0.44","0.35","",
"生技醫療類指數","67.20","+","2.27","3.50","",
"玻璃陶瓷類指數","63.21","+","0.55","0.88","",
"造紙類指數","304.65","-","1.66","-0.54","",
"鋼鐵類指數","134.73","-","0.02","-0.01","",
"橡膠類指數","230.49","+","1.03","0.45","",
"汽車類指數","328.53","+","2.72","0.83","",
"電子工業類指數","684.27","+","1.37","0.20","",
"半導體類指數","328.46","+","0.37","0.11","",
"電腦及週邊設備類指數","120.84","+","0.49","0.41","",
"光電類指數","33.80","+","0.24","0.72","",
"通信網路類指數","122.62","+","0.56","0.46","",
"電子零組件類指數","160.41","+","0.31","0.19","",
"電子通路類指數","167.85","+","0.78","0.47","",
"資訊服務類指數","120.17","+","0.45","0.38","",
"其他電子類指數","94.87","+","0.16","0.17","",
"建材營造類指數","346.85","+","1.63","0.47","",
"航運類指數","154.24","+","2.64","1.74","",
"觀光類指數","103.83","+","0.37","0.36","",
"金融保險類指數","1,512.15","+","19.77","1.32","",
"貿易百貨類指數","269.23","+","2.20","0.82","",
"油電燃氣類指數","109.18","-","0.33","-0.30","",
"其他類指數","343.40","+","2.61","0.77","",
"臺指日報酬兩倍指數","26,745.55","+","241.81","0.91","",
"臺指反向一倍指數","4,694.96","-","21.52","-0.46","",
"電子類兩倍槓桿指數","25,797.18","+","103.09","0.40","",
"電子類反向指數","4,205.62","-","8.45","-0.20","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,361.09","+","164.32","3.92","",
"臺灣中小型公司治理指數","6,619.06","+","37.82","0.57","",
"臺灣IPO指數","4,587.27","+","42.70","0.94","",
"智慧中立指數","3,446.06","+","1.20","0.03","",
"臺灣5G指數","7,342.14","-","7.14","-0.10","",
"臺灣企業社會責任中小型指數","7,790.95","+","34.12","0.44","",
"特選臺灣電動車代表指數","5,632.28","+","47.62","0.85","",
"臺灣5G+通訊指數","5,539.37","-","0.32","-0.01","",
"臺灣全市場指數","4,961.46","+","23.77","0.48","",
"臺灣全市場半導體指數","4,665.02","-","6.05","-0.13","",
"臺灣電動車與自駕科技永續概念指數","4,070.29","-","2.40","-0.06","",
"臺灣智慧移動與電動車指數","3,807.22","-","5.98","-0.16","",
"特選小資高價30指數","4,403.18","+","9.46","0.22","",
"特選臺灣綠能及電動車指數","4,259.55","+","15.86","0.37","",
"特選臺灣智能車供應鏈聯盟指數","4,147.69","+","8.24","0.20","",
"臺灣全市場半導體精選30指數","3,708.21","-","7.89","-0.21","",
"特選臺灣高股息30指數","3,741.61","+","17.42","0.47","",
"臺灣友善環境指數","4,422.71","+","27.61","0.63","",
"台灣永續價值指數","4,161.86","+","31.99","0.77","",
"特選臺灣IC設計指數","2,706.96","-","27.82","-1.02","",
"特選臺灣環境永續高股息指數","3,939.66","+","5.87","0.15","",
"臺灣友善環境50指數","3,869.78","+","12.66","0.33","",
"特選台灣策略高股息30指數","3,638.64","+","12.51","0.34","",
"特選臺灣IC設計產業代表指數","3,269.25","-","24.60","-0.75","",
"特選臺灣綠能指數","4,553.88","+","33.98","0.75","",
"特選臺灣成長高股息指數","3,771.32","+","16.43","0.44","",
"特選臺灣智慧50指數","3,687.55","+","12.17","0.33","",
"特選臺灣標竿PCB指數","3,800.28","+","22.25","0.59","",
"臺灣晶圓製造指數","4,332.51","+","2.74","0.06","",
"臺灣精選高息指數","3,693.15","+","7.00","0.19","",
"臺灣多因子優選高股息30指數","4,703.64","+","36.25","0.78","",
"特選臺灣優利高填息30指數","4,336.52","+","17.29","0.40","",
"臺灣多因子優選成長30指數","5,206.19","+","26.21","0.51","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","25,288.73","+","652.72","2.65","",
"金融類日報酬反向一倍指數","5,053.72","-","67.85","-1.32","",
"漲升股利150指數","7,696.43","+","39.78","0.52","",
"藍籌30指數","7,174.82","+","20.20","0.28","",
"工業菁英30指數","7,697.94","-","12.08","-0.16","",
"電子菁英30指數","7,464.31","+","1.98","0.03","",
"低波動股利精選30指數","6,223.73","+","22.52","0.36","",
"中小型A級動能50指數","13,889.69","+","98.33","0.71","",
