"111年06月21日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","17,904.60","+","413.74","2.37","",
"發行量加權股價指數","15,728.64","+","361.06","2.35","",
"臺灣公司治理100指數","9,133.00","+","198.63","2.22","",
"臺灣50指數","12,163.73","+","253.12","2.13","",
"臺灣50權重上限30%指數","11,653.15","+","265.56","2.33","",
"臺灣中型100指數","13,211.67","+","359.58","2.80","",
"臺灣資訊科技指數","20,446.85","+","409.90","2.05","",
"臺灣發達指數","10,556.59","+","212.28","2.05","",
"臺灣高股息指數","6,768.19","+","103.77","1.56","",
"臺灣就業99指數","9,580.07","+","290.52","3.13","",
"臺灣高薪100指數","8,919.46","+","229.44","2.64","",
"未含金融指數","13,496.31","+","291.17","2.20","",
"未含電子指數","18,694.32","+","462.53","2.54","",
"未含金融電子指數","15,585.54","+","330.36","2.17","",
"小型股300指數","8,494.34","+","250.38","3.04","",
"水泥窯製類指數","626.05","+","12.29","2.00","",
"塑膠化工類指數","920.46","+","17.93","1.99","",
"機電類指數","4,046.11","+","89.31","2.26","",
"水泥類指數","162.86","+","2.53","1.58","",
"食品類指數","1,809.65","+","42.37","2.40","",
"塑膠類指數","281.85","+","4.15","1.49","",
"紡織纖維類指數","568.33","+","11.99","2.16","",
"電機機械類指數","236.94","+","8.98","3.94","",
"電器電纜類指數","99.63","+","1.50","1.53","",
"化學生技醫療類指數","117.35","+","3.48","3.06","",
"化學類指數","141.36","+","3.56","2.58","",
"生技醫療類指數","66.09","+","2.36","3.70","",
"玻璃陶瓷類指數","53.69","+","2.39","4.66","",
"造紙類指數","326.32","+","7.58","2.38","",
"鋼鐵類指數","147.67","+","1.25","0.85","",
"橡膠類指數","249.55","+","7.14","2.95","",
"汽車類指數","325.50","+","13.12","4.20","",
"電子工業類指數","722.89","+","15.72","2.22","",
"半導體類指數","350.06","+","6.33","1.84","",
"電腦及週邊設備類指數","127.32","+","3.00","2.41","",
"光電類指數","32.55","+","0.93","2.94","",
"通信網路類指數","138.73","+","2.91","2.14","",
"電子零組件類指數","156.17","+","6.38","4.26","",
"電子通路類指數","181.90","+","4.02","2.26","",
"資訊服務類指數","126.25","+","1.60","1.28","",
"其他電子類指數","101.39","+","2.57","2.60","",
"建材營造類指數","357.16","+","8.09","2.32","",
"航運類指數","223.58","+","4.26","1.94","",
"觀光類指數","96.65","+","2.64","2.81","",
"金融保險類指數","1,650.42","+","54.27","3.40","",
"貿易百貨類指數","281.77","+","7.88","2.88","",
"油電燃氣類指數","122.43","-","0.58","-0.47","",
"其他類指數","373.74","+","11.38","3.14","",
"臺指日報酬兩倍指數","31,666.99","+","1,421.24","4.70","",
"臺指反向一倍指數","4,452.81","-","107.14","-2.35","",
