"111年05月17日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,284.90","+","187.11","1.03","",
"發行量加權股價指數","16,056.09","+","155.05","0.98","",
"臺灣公司治理100指數","9,320.81","+","92.36","1.00","",
"臺灣50指數","12,403.23","+","131.13","1.07","",
"臺灣50權重上限30%指數","11,776.97","+","93.48","0.80","",
"臺灣中型100指數","13,647.20","+","107.16","0.79","",
"臺灣資訊科技指數","21,246.07","+","340.13","1.63","",
"臺灣發達指數","10,601.98","+","3.23","0.03","",
"臺灣高股息指數","7,154.26","-","8.64","-0.12","",
"臺灣就業99指數","9,557.91","+","40.42","0.42","",
"臺灣高薪100指數","8,934.43","+","14.08","0.16","",
"未含金融指數","13,856.02","+","159.95","1.17","",
"未含電子指數","18,657.10","+","24.83","0.13","",
"未含金融電子指數","15,684.23","+","60.07","0.38","",
"小型股300指數","8,592.82","+","113.38","1.34","",
"水泥窯製類指數","648.94","+","1.94","0.30","",
"塑膠化工類指數","899.28","+","7.80","0.87","",
"機電類指數","4,181.05","+","62.21","1.51","",
"水泥類指數","169.57","+","0.39","0.23","",
"食品類指數","1,789.15","-","3.45","-0.19","",
"塑膠類指數","272.43","+","1.94","0.72","",
"紡織纖維類指數","576.07","+","2.43","0.42","",
"電機機械類指數","222.96","+","3.24","1.47","",
"電器電纜類指數","95.27","-","0.77","-0.80","",
"化學生技醫療類指數","116.82","+","1.02","0.88","",
"化學類指數","145.97","+","1.77","1.23","",
"生技醫療類指數","62.56","+","0.24","0.39","",
"玻璃陶瓷類指數","54.15","+","0.39","0.73","",
"造紙類指數","326.22","+","2.44","0.75","",
"鋼鐵類指數","157.08","-","0.18","-0.11","",
"橡膠類指數","251.23","+","4.81","1.95","",
"汽車類指數","309.18","+","6.51","2.15","",
"電子工業類指數","749.05","+","11.27","1.53","",
"半導體類指數","367.45","+","7.09","1.97","",
"電腦及週邊設備類指數","129.64","+","0.14","0.11","",
"光電類指數","33.06","+","0.46","1.41","",
"通信網路類指數","135.31","-","0.35","-0.26","",
"電子零組件類指數","167.54","+","2.62","1.59","",
"電子通路類指數","196.53","+","2.79","1.44","",
"資訊服務類指數","126.11","+","0.48","0.38","",
"其他電子類指數","97.34","+","0.86","0.89","",
"建材營造類指數","364.94","+","4.43","1.23","",
"航運類指數","253.12","-","4.91","-1.90","",
"觀光類指數","91.65","+","0.66","0.73","",
"金融保險類指數","1,615.61","-","7.37","-0.45","",
"貿易百貨類指數","282.41","+","3.48","1.25","",
"油電燃氣類指數","120.35","+","1.12","0.94","",
"其他類指數","356.04","+","4.14","1.18","",
"臺指日報酬兩倍指數","33,125.89","+","633.66","1.95","",
"臺指反向一倍指數","4,378.79","-","43.12","-0.98","",
"電子類兩倍槓桿指數","32,104.92","+","951.76","3.06","",
"電子類反向指數","3,989.49","-","61.89","-1.53","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,931.60","-","17.91","-0.45","",
"臺灣中小型公司治理指數","7,062.40","+","105.05","1.51","",
"臺灣IPO指數","6,466.85","+","91.64","1.44","",
"智慧中立指數","4,019.26","-","13.14","-0.33","",
"臺灣5G指數","8,275.68","+","138.97","1.71","",
"臺灣企業社會責任中小型指數","8,321.70","+","45.82","0.55","",
"特選臺灣電動車代表指數","5,527.49","+","31.29","0.57","",
"臺灣5G+通訊指數","6,053.03","+","74.54","1.25","",
"臺灣全市場指數","5,443.56","+","58.20","1.08","",
"臺灣全市場半導體指數","5,512.38","+","118.84","2.20","",
"臺灣電動車與自駕科技永續概念指數","4,452.65","+","66.61","1.52","",
"臺灣智慧移動與電動車指數","4,271.52","+","65.71","1.56","",
"特選小資高價30指數","4,743.24","+","98.35","2.12","",
"特選臺灣綠能及電動車指數","4,493.39","+","45.77","1.03","",
"特選臺灣智能車供應鏈聯盟指數","4,394.86","+","57.52","1.33","",
"臺灣全市場半導體精選30指數","4,373.05","+","92.98","2.17","",
"特選臺灣高股息30指數","4,572.52","+","5.43","0.12","",
"臺灣友善環境指數","4,937.40","+","31.75","0.65","",
"台灣永續價值指數","4,448.62","+","21.98","0.50","",
"特選臺灣IC設計指數","3,670.48","+","86.64","2.42","",
"特選臺灣環境永續高股息指數","4,546.93","+","1.87","0.04","",
"臺灣友善環境50指數","4,320.81","+","33.95","0.79","",
"特選台灣策略高股息30指數","4,461.62","+","35.44","0.80","",
"特選臺灣IC設計產業代表指數","4,079.83","+","99.59","2.50","",
"特選臺灣綠能指數","4,684.52","+","50.42","1.09","",
"特選臺灣成長高股息指數","4,391.16","+","19.52","0.45","",
"特選臺灣智慧50指數","4,521.54","+","31.64","0.70","",
"特選臺灣標竿PCB指數","4,575.02","+","79.19","1.76","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","29,383.05","-","269.30","-0.91","",
"金融類日報酬反向一倍指數","4,814.58","+","21.76","0.45","",
"漲升股利150指數","8,440.88","+","67.39","0.80","",
"藍籌30指數","7,816.29","+","75.19","0.97","",
"工業菁英30指數","8,538.19","+","116.95","1.39","",
"電子菁英30指數","7,852.84","+","131.48","1.70","",
"低波動股利精選30指數","6,998.53","+","7.52","0.11","",
"中小型A級動能50指數","14,056.76","+","119.26","0.86","",
"特選高息低波指數","7,281.59","-","7.78","-0.11","",
"臺灣永續指數","8,167.21","+","54.90","0.68","",
"特選內需高收益指數","6,181.76","+","14.58","0.24","",
"價值投資指數","7,329.07","+","19.80","0.27","",
"存股雙十等權重指數","7,702.56","-","7.64","-0.10","",
"特選大蘋果指數","6,611.44","+","87.07","1.33","",
"中小型300指數","8,753.24","+","94.82","1.10","",
"特股高息20指數","6,138.89","-","9.16","-0.15","",
"臺灣500指數","8,306.75","+","74.89","0.91","",
"臺灣勞工權益指數","7,575.30","+","23.36","0.31","",
"微波高息精選20指數","6,460.05","-","23.85","-0.37","",
"特選世代行動通訊指數","6,033.17","+","18.93","0.31","",
"智慧投資多因子30指數","5,682.87","+","14.63","0.26","",
"臺股期貨指數","8,032.16","+","71.53","0.90","",
"特選價值成長指數","7,453.27","+","47.33","0.64","",
"臺灣上櫃永續指數","5,875.83","+","167.43","2.93","",
"特選台股領航指數","7,240.40","+","41.28","0.57","",
"特選Smart多因子指數","6,238.15","+","58.85","0.95","",
"特選ESG高股息指數","4,467.84","+","31.68","0.71","",
"特選上櫃ESG成長指數","4,305.31","+","136.45","3.27","",
"特選上櫃ESG電子菁英指數","4,618.35","+","140.92","3.15","",
"新臺灣高股息指數","4,860.11","+","16.35","0.34","",
"臺灣優息存股指數","4,892.85","-","9.48","-0.19","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","24,497.63","+","250.67","1.03","",
"發行量加權股價報酬指數","31,933.66","+","308.37","0.98","",
"臺灣公司治理100報酬指數","12,232.19","+","121.20","1.00","",
"臺灣50報酬指數","24,938.22","+","263.64","1.07","",
"臺灣50權重上限30%報酬指數","23,742.62","+","188.46","0.80","",
"臺灣中型100報酬指數","25,486.37","+","200.11","0.79","",
"臺灣資訊科技股報酬指數","40,386.45","+","646.56","1.63","",
"臺灣發達報酬指數","19,236.06","+","5.84","0.03","",
"臺灣高股息報酬指數","18,008.85","-","21.77","-0.12","",
"臺灣就業99報酬指數","14,180.97","+","59.98","0.42","",
"臺灣高薪100報酬指數","12,105.51","+","19.08","0.16","",
"未含金融電子報酬指數","31,490.71","+","120.61","0.38","",
"小型股300報酬指數","10,866.50","+","143.38","1.34","",
"水泥類報酬指數","322.40","+","0.75","0.23","",
"食品類報酬指數","2,707.46","-","5.21","-0.19","",
"塑膠類報酬指數","461.65","+","3.30","0.72","",
"紡織纖維類報酬指數","908.42","+","3.84","0.42","",
"電機機械類報酬指數","328.49","+","4.78","1.48","",
"電器電纜類報酬指數","140.57","-","1.14","-0.80","",
"化學生技醫療類報酬指數","178.19","+","1.57","0.89","",
"化學類報酬指數","237.81","+","2.90","1.23","",
"生技醫療類報酬指數","86.37","+","0.34","0.40","",
"玻璃陶瓷類報酬指數","62.96","+","0.46","0.74","",
"造紙類報酬指數","480.80","+","3.61","0.76","",
"鋼鐵類報酬指數","246.03","-","0.27","-0.11","",
"橡膠類報酬指數","389.88","+","7.45","1.95","",
"汽車類報酬指數","478.98","+","10.09","2.15","",
"電子工業類報酬指數","1,359.31","+","20.47","1.53","",
"半導體類報酬指數","629.75","+","12.15","1.97","",
"電腦及週邊設備類報酬指數","268.54","+","0.28","0.10","",
"光電類報酬指數","46.62","+","0.66","1.44","",
"通信網路類報酬指數","274.65","-","0.70","-0.25","",
"電子零組件類報酬指數","301.02","+","4.71","1.59","",
"電子通路類報酬指數","438.61","+","6.24","1.44","",
"資訊服務類報酬指數","279.18","+","1.06","0.38","",
"其他電子類報酬指數","150.10","+","1.32","0.89","",
"建材營造類報酬指數","694.27","+","8.43","1.23","",
"航運類報酬指數","358.29","-","6.95","-1.90","",
"觀光類報酬指數","124.22","+","0.90","0.73","",
"金融保險類報酬指數","2,673.50","-","12.19","-0.45","",
"貿易百貨類報酬指數","425.55","+","5.25","1.25","",
"油電燃氣類報酬指數","182.77","+","1.70","0.94","",
"其他類報酬指數","583.80","+","6.79","1.18","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,285.10","-","19.52","-0.45","",
"臺灣中小型公司治理報酬指數","8,869.72","+","131.93","1.51","",
"臺灣IPO報酬指數","7,298.83","+","103.44","1.44","",
"智慧中立報酬指數","4,373.99","-","14.30","-0.33","",
"加權指數掩護性臺指買權價外5%報酬指數","6,900.48","+","66.59","0.97","",
"臺灣5G報酬指數","8,782.15","+","147.48","1.71","",
"臺灣企業社會責任中小型報酬指數","9,123.38","+","50.23","0.55","",
"特選臺灣電動車代表報酬指數","5,917.43","+","33.50","0.57","",
"臺灣5G+通訊報酬指數","6,286.92","+","77.42","1.25","",
"臺灣全市場報酬指數","5,611.36","+","60.00","1.08","",
"臺灣全市場半導體報酬指數","5,664.56","+","122.13","2.20","",
"臺灣電動車與自駕科技永續概念報酬指數","4,604.50","+","68.87","1.52","",
"臺灣智慧移動與電動車報酬指數","4,396.82","+","67.65","1.56","",
"特選小資高價30報酬指數","4,866.45","+","100.90","2.12","",
"特選臺灣綠能及電動車報酬指數","4,630.86","+","47.17","1.03","",
"特選臺灣智能車供應鏈聯盟報酬指數","4,514.80","+","59.09","1.33","",
"臺灣全市場半導體精選30報酬指數","4,429.62","+","94.18","2.17","",
"特選臺灣高股息30報酬指數","4,615.05","+","5.48","0.12","",
"臺灣友善環境報酬指數","4,954.62","+","31.85","0.65","",
"台灣永續價值報酬指數","4,456.62","+","22.02","0.50","",
"特選臺灣IC設計報酬指數","3,681.06","+","86.90","2.42","",
"特選臺灣環境永續高股息報酬指數","4,604.56","+","1.90","0.04","",
"臺灣友善環境50報酬指數","4,326.23","+","34.00","0.79","",
"特選台灣策略高股息30報酬指數","4,523.86","+","35.93","0.80","",
"特選臺灣IC設計產業代表報酬指數","4,083.31","+","99.68","2.50","",
"特選臺灣綠能報酬指數","4,684.52","+","50.42","1.09","",
"特選臺灣成長高股息報酬指數","4,415.64","+","19.63","0.45","",
"特選臺灣智慧50報酬指數","4,522.27","+","31.65","0.70","",
"特選臺灣標竿PCB報酬指數","4,583.50","+","79.35","1.76","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","10,729.19","+","85.66","0.80","",
"藍籌30報酬指數","9,497.37","+","91.35","0.97","",
"工業菁英30報酬指數","10,338.29","+","141.61","1.39","",
"電子菁英30報酬指數","9,409.10","+","157.53","1.70","",
"低波動股利精選30報酬指數","8,723.64","+","9.37","0.11","",
"中小型A級動能50報酬指數","16,066.70","+","136.31","0.86","",
"特選高息低波報酬指數","9,419.70","-","10.06","-0.11","",
"臺灣永續報酬指數","9,920.15","+","66.67","0.68","",
"特選內需高收益報酬指數","7,558.40","+","17.82","0.24","",
"價值投資報酬指數","9,120.56","+","24.64","0.27","",
"存股雙十等權重報酬指數","8,852.88","-","8.79","-0.10","",
"特選大蘋果報酬指數","7,586.06","+","99.91","1.33","",
"中小型300報酬指數","9,789.74","+","106.05","1.10","",
"特股高息20報酬指數","6,912.74","-","10.32","-0.15","",
"臺灣500報酬指數","9,269.61","+","83.58","0.91","",
"臺灣勞工權益報酬指數","8,597.13","+","26.50","0.31","",
"微波高息精選20報酬指數","7,240.55","-","26.74","-0.37","",
"特選世代行動通訊報酬指數","6,503.85","+","20.41","0.31","",
"智慧投資多因子30報酬指數","6,164.91","+","15.87","0.26","",
"特選大蘋果報酬正向兩倍指數","12,164.81","+","316.26","2.67","",
"特選大蘋果報酬反向一倍指數","7,720.54","-","104.43","-1.33","",
"特選價值成長報酬指數","8,074.39","+","51.28","0.64","",
"臺灣上櫃永續報酬指數","6,345.10","+","180.79","2.93","",
"特選台股領航報酬指數","7,699.19","+","43.89","0.57","",
"特選Smart多因子報酬指數","6,466.73","+","61.00","0.95","",
"特選ESG高股息報酬指數","4,632.46","+","32.85","0.71","",
"特選上櫃ESG成長報酬指數","4,448.38","+","140.98","3.27","",
"特選上櫃ESG電子菁英報酬指數","4,777.52","+","145.76","3.15","",
"新臺灣高股息報酬指數","4,874.57","+","16.40","0.34","",
"臺灣優息存股報酬指數","4,892.85","-","9.48","-0.19","",
"111年05月17日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","197,508,151,356","2,833,753,069","1,480,305",
"2.台灣存託憑證","48,531,885","7,941,327","2,258",
"3.受益憑證","0","0","0",
"4.ETF","10,211,001,858","736,902,899","169,434",
"5.受益證券","77,472,702","4,035,261","297",
"6.變更交易股票","26,834,181","3,842,100","1,569",
"7.認購(售)權證","2,178,373,990","1,989,950,000","68,309",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","15,300,530","3,320,000","442",
"14.創新板股票","0","0","0",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","197,534,985,537","2,837,595,169","1,481,874",
"總計(1~15)","210,065,666,502","5,579,744,656","1,722,614",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,395(9)","714(5)",
"下跌(跌停)","4,108(50)","167(0)",
"持平","567","72",
"未成交","17,965","5",
"無比價","2,232","4",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"111年05月17日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","4,399,419","7,213","545,917,041","123.15","124.50","123.15","124.35","+","1.35","124.30","20","124.35","130","0.00",
="0051","元大中型100","11,090","151","618,507","55.55","55.85","55.55","55.80","+","0.25","55.80","2","55.85","3","0.00",
="0052","富邦科技","457,089","1,530","47,841,229","103.80","105.20","103.60","105.10","+","1.75","105.00","6","105.10","13","0.00",
="0053","元大電子","31,393","383","1,879,969","59.90","59.95","59.60","59.95","+","0.70","59.90","1","60.30","13","0.00",
="0054","元大台商50","204,864","87","5,740,347","27.95","28.10","27.95","28.10","+","0.13","28.08","50","28.09","3","0.00",
="0055","元大MSCI金融","258,041","425","5,932,509","23.08","23.08","22.92","23.00","-","0.02","23.00","1","23.02","2","0.00",
="0056","元大高股息","15,703,736","12,230","482,474,778","30.80","30.83","30.66","30.69","-","0.03","30.68","276","30.69","223","0.00",
="0057","富邦摩台","45,756","752","3,979,822","86.95","87.15","86.80","86.80","+","1.00","86.70","20","86.90","1","0.00",
="0061","元大寶滬深","138,735","52","2,594,421","18.65","18.84","18.65","18.80","+","0.13","18.80","42","18.83","2","0.00",
="006203","元大MSCI台灣","3,885","744","230,617","59.70","59.75","59.60","59.75","+","0.70","59.65","2","59.90","2","0.00",
="006204","永豐臺灣加權","20,916","525","1,691,157","80.90","80.90","80.90","80.90","+","0.40","80.75","52","81.00","50","0.00",
="006205","富邦上証","574,415","591","18,019,807","31.08","31.49","31.08","31.40","+","0.23","31.40","92","31.43","5","0.00",
="006206","元大上證50","43,510","695","1,319,649","30.23","30.42","30.23","30.34","+","0.20","30.34","45","30.36","2","0.00",
