"111年09月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,987.08","-","328.23","-1.90","",
"發行量加權股價指數","14,801.86","-","293.58","-1.94","",
"臺灣公司治理100指數","8,477.75","-","185.27","-2.14","",
"臺灣50指數","11,306.85","-","262.51","-2.27","",
"臺灣50權重上限30%指數","10,693.73","-","227.83","-2.09","",
"臺灣中型100指數","12,782.01","-","215.99","-1.66","",
"臺灣資訊科技指數","19,221.10","-","499.76","-2.53","",
"臺灣發達指數","9,715.65","-","150.69","-1.53","",
"臺灣高股息指數","6,057.23","-","76.15","-1.24","",
"臺灣就業99指數","8,938.61","-","131.77","-1.45","",
"臺灣高薪100指數","8,126.18","-","116.00","-1.41","",
"未含金融指數","12,698.25","-","264.64","-2.04","",
"未含電子指數","17,444.90","-","234.54","-1.33","",
"未含金融電子指數","14,480.24","-","200.22","-1.36","",
"小型股300指數","8,376.39","-","100.58","-1.19","",
"水泥窯製類指數","632.34","-","9.45","-1.47","",
"塑膠化工類指數","827.09","-","10.09","-1.21","",
"機電類指數","3,829.91","-","91.03","-2.32","",
"水泥類指數","168.83","-","2.40","-1.40","",
"食品類指數","1,834.82","-","12.14","-0.66","",
"塑膠類指數","234.46","-","3.17","-1.33","",
"紡織纖維類指數","566.33","-","10.13","-1.76","",
"電機機械類指數","224.49","-","4.19","-1.83","",
"電器電纜類指數","96.06","-","0.10","-0.10","",
"化學生技醫療類指數","123.44","-","1.29","-1.03","",
"化學類指數","140.48","-","2.00","-1.40","",
"生技醫療類指數","74.02","-","0.49","-0.66","",
"玻璃陶瓷類指數","45.62","-","0.92","-1.98","",
"造紙類指數","304.36","-","4.43","-1.43","",
"鋼鐵類指數","136.17","-","2.10","-1.52","",
"橡膠類指數","246.84","-","2.28","-0.92","",
"汽車類指數","327.59","-","6.18","-1.85","",
"電子工業類指數","684.18","-","16.48","-2.35","",
"半導體類指數","324.76","-","9.22","-2.76","",
"電腦及週邊設備類指數","121.27","-","1.80","-1.46","",
"光電類指數","33.92","-","0.10","-0.29","",
"通信網路類指數","134.03","-","1.66","-1.22","",
"電子零組件類指數","152.41","-","4.94","-3.14","",
"電子通路類指數","172.28","-","1.48","-0.85","",
"資訊服務類指數","128.03","-","1.50","-1.16","",
"其他電子類指數","100.57","-","1.49","-1.46","",
"建材營造類指數","358.45","-","2.99","-0.83","",
"航運類指數","185.50","-","3.90","-2.06","",
"觀光類指數","98.57","-","1.09","-1.09","",
"金融保險類指數","1,555.79","-","19.56","-1.24","",
"貿易百貨類指數","282.39","-","4.05","-1.41","",
"油電燃氣類指數","109.62","-","0.64","-0.58","",
"其他類指數","348.00","-","4.93","-1.40","",
"臺指日報酬兩倍指數","27,779.49","-","1,124.25","-3.89","",
"臺指反向一倍指數","4,687.54","+","89.43","1.94","",
"電子類兩倍槓桿指數","26,283.10","-","1,297.43","-4.70","",
"電子類反向指數","4,286.46","+","98.50","2.35","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,663.92","-","73.02","-1.54","",
"臺灣中小型公司治理指數","6,578.36","-","140.40","-2.09","",
"臺灣IPO指數","5,403.22","-","97.80","-1.78","",
"智慧中立指數","3,633.66","+","0.31","0.01","",
"臺灣5G指數","7,113.91","-","179.09","-2.46","",
"臺灣企業社會責任中小型指數","7,795.34","-","77.88","-0.99","",
"特選臺灣電動車代表指數","5,657.15","-","44.94","-0.79","",
"臺灣5G+通訊指數","5,447.95","-","137.08","-2.45","",
"臺灣全市場指數","5,037.04","-","102.15","-1.99","",
"臺灣全市場半導體指數","4,574.63","-","121.82","-2.59","",
"臺灣電動車與自駕科技永續概念指數","3,978.71","-","93.33","-2.29","",
"臺灣智慧移動與電動車指數","3,622.22","-","94.52","-2.54","",
"特選小資高價30指數","4,174.90","-","124.00","-2.88","",
"特選臺灣綠能及電動車指數","4,278.15","-","63.93","-1.47","",
"特選臺灣智能車供應鏈聯盟指數","4,062.45","-","92.65","-2.23","",
"臺灣全市場半導體精選30指數","3,585.40","-","99.89","-2.71","",
"特選臺灣高股息30指數","3,719.74","-","63.81","-1.69","",
"臺灣友善環境指數","4,433.42","-","79.39","-1.76","",
"台灣永續價值指數","4,166.48","-","70.75","-1.67","",
"特選臺灣IC設計指數","2,658.98","-","75.77","-2.77","",
"特選臺灣環境永續高股息指數","3,897.09","-","53.70","-1.36","",
"臺灣友善環境50指數","3,844.08","-","85.12","-2.17","",
"特選台灣策略高股息30指數","3,671.32","-","51.85","-1.39","",
"特選臺灣IC設計產業代表指數","3,115.27","-","87.30","-2.73","",
"特選臺灣綠能指數","4,702.27","-","60.42","-1.27","",
"特選臺灣成長高股息指數","3,631.10","-","61.06","-1.65","",
"特選臺灣智慧50指數","3,700.32","-","96.87","-2.55","",
"特選臺灣標竿PCB指數","3,623.68","-","163.32","-4.31","",
"臺灣晶圓製造指數","4,147.97","-","110.82","-2.60","",
"臺灣精選高息指數","3,662.07","-","67.76","-1.82","",
"臺灣多因子優選高股息30指數","4,631.27","-","38.56","-0.83","",
"特選臺灣優利高填息30指數","4,309.41","-","71.85","-1.64","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","26,941.20","-","686.06","-2.48","",
"金融類日報酬反向一倍指數","4,943.35","+","60.63","1.24","",
"漲升股利150指數","7,622.24","-","120.74","-1.56","",
"藍籌30指數","7,090.36","-","147.33","-2.04","",
"工業菁英30指數","7,485.46","-","177.15","-2.31","",
"電子菁英30指數","7,179.53","-","169.86","-2.31","",
"低波動股利精選30指數","6,832.18","-","102.56","-1.48","",
"中小型A級動能50指數","13,414.41","-","351.37","-2.55","",
"特選高息低波指數","6,530.92","-","58.97","-0.89","",
"臺灣永續指數","7,502.26","-","152.77","-2.00","",
"特選內需高收益指數","5,789.30","-","66.37","-1.13","",
"價值投資指數","5,599.68","-","142.24","-2.48","",
"存股雙十等權重指數","6,634.16","-","93.37","-1.39","",
"特選大蘋果指數","6,285.57","-","151.15","-2.35","",
"中小型300指數","8,300.95","-","130.83","-1.55","",
"特股高息20指數","5,879.71","-","30.46","-0.52","",
"臺灣500指數","7,625.74","-","150.08","-1.93","",
"臺灣勞工權益指數","7,058.71","-","86.55","-1.21","",
"微波高息精選20指數","6,310.94","-","63.34","-0.99","",
"特選世代行動通訊指數","6,248.70","-","144.35","-2.26","",
"智慧投資多因子30指數","4,983.09","-","81.00","-1.60","",
"臺股期貨指數","7,701.50","-","158.36","-2.01","",
"特選價值成長指數","6,023.65","-","97.77","-1.60","",
"臺灣上櫃永續指數","5,753.44","-","110.63","-1.89","",
"特選台股領航指數","6,539.86","-","117.66","-1.77","",
"特選Smart多因子指數","5,505.95","-","112.54","-2.00","",
"特選ESG高股息指數","3,855.37","-","72.29","-1.84","",
"特選上櫃ESG成長指數","4,213.23","-","98.10","-2.28","",
"特選上櫃ESG電子菁英指數","4,294.76","-","117.33","-2.66","",
"新臺灣高股息指數","4,258.78","-","60.35","-1.40","",
"臺灣優息存股指數","4,645.06","-","69.06","-1.46","",
"特選上櫃ESG永續高股息指數","5,865.96","-","118.41","-1.98","",
"特選臺灣金融高股息存股指數","5,052.88","-","61.81","-1.21","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","23,668.77","-","456.35","-1.89","",
"發行量加權股價報酬指數","30,639.30","-","606.55","-1.94","",
"臺灣公司治理100報酬指數","11,597.29","-","253.44","-2.14","",
"臺灣50報酬指數","23,556.81","-","546.93","-2.27","",
"臺灣50權重上限30%報酬指數","22,534.50","-","480.10","-2.09","",
"臺灣中型100報酬指數","24,922.14","-","421.15","-1.66","",
"臺灣資訊科技股報酬指數","37,553.67","-","976.41","-2.53","",
"臺灣發達報酬指數","18,725.10","-","290.43","-1.53","",
"臺灣高股息報酬指數","16,710.45","-","210.10","-1.24","",
"臺灣就業99報酬指數","13,924.04","-","205.26","-1.45","",
"臺灣高薪100報酬指數","11,694.26","-","166.94","-1.41","",
"未含金融電子報酬指數","30,748.39","-","423.80","-1.36","",
"小型股300報酬指數","11,076.66","-","130.00","-1.16","",
"水泥類報酬指數","335.50","-","4.78","-1.40","",
"食品類報酬指數","2,868.91","-","17.92","-0.62","",
"塑膠類報酬指數","430.25","-","5.82","-1.33","",
"紡織纖維類報酬指數","926.42","-","16.59","-1.76","",
"電機機械類報酬指數","337.59","-","6.14","-1.79","",
"電器電纜類報酬指數","148.03","-","0.16","-0.11","",
"化學生技醫療類報酬指數","193.53","-","2.02","-1.03","",
"化學類報酬指數","236.12","-","3.37","-1.41","",
"生技醫療類報酬指數","104.70","-","0.69","-0.65","",
"玻璃陶瓷類報酬指數","57.67","-","1.17","-1.99","",
"造紙類報酬指數","473.53","-","6.91","-1.44","",
"鋼鐵類報酬指數","230.04","-","3.54","-1.52","",
"橡膠類報酬指數","395.08","-","3.66","-0.92","",
"汽車類報酬指數","525.71","-","9.91","-1.85","",
"電子工業類報酬指數","1,280.20","-","30.78","-2.35","",
"半導體類報酬指數","568.81","-","16.14","-2.76","",
"電腦及週邊設備類報酬指數","267.63","-","3.96","-1.46","",
"光電類報酬指數","50.07","-","0.12","-0.24","",
"通信網路類報酬指數","281.30","-","3.47","-1.22","",
"電子零組件類報酬指數","283.15","-","9.18","-3.14","",
"電子通路類報酬指數","413.76","-","3.53","-0.85","",
"資訊服務類報酬指數","298.50","-","3.51","-1.16","",
"其他電子類報酬指數","162.11","-","2.40","-1.46","",
"建材營造類報酬指數","708.03","-","5.92","-0.83","",
"航運類報酬指數","296.42","-","6.22","-2.06","",
"觀光類報酬指數","136.78","-","1.51","-1.09","",
"金融保險類報酬指數","2,700.68","-","33.95","-1.24","",
"貿易百貨類報酬指數","438.06","-","6.28","-1.41","",
"油電燃氣類報酬指數","173.53","-","1.00","-0.57","",
"其他類報酬指數","590.93","-","8.36","-1.39","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,157.52","-","80.75","-1.54","",
"臺灣中小型公司治理報酬指數","8,638.60","-","184.37","-2.09","",
"臺灣IPO報酬指數","6,308.15","-","114.17","-1.78","",
"智慧中立報酬指數","4,198.62","+","0.34","0.01","",
"加權指數掩護性臺指買權價外5%報酬指數","6,671.06","-","131.60","-1.93","",
"臺灣5G報酬指數","7,943.66","-","199.97","-2.46","",
"臺灣企業社會責任中小型報酬指數","9,062.18","-","88.48","-0.97","",
"特選臺灣電動車代表報酬指數","6,363.72","-","50.54","-0.79","",
"臺灣5G+通訊報酬指數","5,899.82","-","148.45","-2.45","",
"臺灣全市場報酬指數","5,397.63","-","109.25","-1.98","",
"臺灣全市場半導體報酬指數","4,915.92","-","130.54","-2.59","",
"臺灣電動車與自駕科技永續概念報酬指數","4,311.40","-","101.14","-2.29","",
"臺灣智慧移動與電動車報酬指數","3,923.59","-","102.38","-2.54","",
"特選小資高價30報酬指數","4,445.97","-","132.06","-2.88","",
"特選臺灣綠能及電動車報酬指數","4,642.12","-","69.38","-1.47","",
