"111年11月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","15,281.16","+","127.18","0.84","",
"發行量加權股價指數","13,347.76","+","124.03","0.94","",
"臺灣公司治理100指數","7,558.54","+","91.47","1.22","",
"臺灣50指數","9,962.94","+","132.90","1.35","",
"臺灣50權重上限30%指數","9,650.40","+","103.27","1.08","",
"臺灣中型100指數","12,116.11","+","51.48","0.43","",
"臺灣資訊科技指數","16,732.99","+","238.60","1.45","",
"臺灣發達指數","9,121.75","+","58.22","0.64","",
"臺灣高股息指數","5,649.99","+","44.83","0.80","",
"臺灣就業99指數","8,416.76","+","41.68","0.50","",
"臺灣高薪100指數","7,523.63","+","49.21","0.66","",
"未含金融指數","11,398.86","+","112.15","0.99","",
"未含電子指數","16,230.76","+","97.08","0.60","",
"未含金融電子指數","13,466.91","+","83.29","0.62","",
"小型股300指數","7,682.36","+","10.87","0.14","",
"水泥窯製類指數","565.22","+","5.19","0.93","",
"塑膠化工類指數","778.41","+","3.01","0.39","",
"機電類指數","3,387.71","+","37.82","1.13","",
"水泥類指數","143.78","+","2.12","1.50","",
"食品類指數","1,780.38","+","0.69","0.04","",
"塑膠類指數","233.59","+","1.68","0.72","",
"紡織纖維類指數","565.13","+","4.60","0.82","",
"電機機械類指數","208.44","+","0.15","0.07","",
"電器電纜類指數","93.67","-","0.81","-0.86","",
"化學生技醫療類指數","102.62","-","0.29","-0.28","",
"化學類指數","120.70","-","0.52","-0.43","",
"生技醫療類指數","59.52","-","0.07","-0.12","",
"玻璃陶瓷類指數","55.26","-","1.14","-2.02","",
"造紙類指數","296.66","+","1.66","0.56","",
"鋼鐵類指數","129.08","+","0.76","0.59","",
"橡膠類指數","226.69","-","0.23","-0.10","",
"汽車類指數","312.99","+","0.58","0.19","",
"電子工業類指數","603.92","+","7.02","1.18","",
"半導體類指數","273.63","+","4.41","1.64","",
"電腦及週邊設備類指數","117.13","+","0.69","0.59","",
"光電類指數","32.13","+","0.03","0.09","",
"通信網路類指數","122.40","+","0.74","0.61","",
"電子零組件類指數","149.65","+","1.28","0.86","",
"電子通路類指數","161.71","+","1.20","0.75","",
"資訊服務類指數","117.45","+","0.20","0.17","",
"其他電子類指數","93.20","+","0.11","0.12","",
"建材營造類指數","334.52","+","0.45","0.13","",
"航運類指數","151.92","+","2.60","1.74","",
"觀光類指數","99.54","+","0.25","0.25","",
"金融保險類指數","1,448.85","+","7.99","0.55","",
"貿易百貨類指數","257.48","+","1.85","0.72","",
"油電燃氣類指數","108.95","+","0.41","0.38","",
"其他類指數","321.38","+","3.74","1.18","",
"臺指日報酬兩倍指數","22,389.13","+","412.26","1.88","",
"臺指反向一倍指數","5,153.25","-","48.79","-0.94","",
"電子類兩倍槓桿指數","20,198.31","+","464.18","2.35","",
"電子類反向指數","4,791.75","-","57.03","-1.18","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,816.30","-","14.50","-0.38","",
"臺灣中小型公司治理指數","6,198.69","+","42.10","0.68","",
"臺灣IPO指數","4,261.37","-","52.37","-1.21","",
"智慧中立指數","3,463.95","+","14.58","0.42","",
"臺灣5G指數","6,577.49","+","56.14","0.86","",
"臺灣企業社會責任中小型指數","7,432.57","+","20.76","0.28","",
"特選臺灣電動車代表指數","5,535.98","+","15.98","0.29","",
"臺灣5G+通訊指數","4,946.91","+","46.82","0.96","",
"臺灣全市場指數","4,503.28","+","41.62","0.93","",
"臺灣全市場半導體指數","4,047.52","+","25.38","0.63","",
"臺灣電動車與自駕科技永續概念指數","3,649.69","+","23.56","0.65","",
"臺灣智慧移動與電動車指數","3,435.05","+","26.90","0.79","",
"特選小資高價30指數","3,850.51","+","38.78","1.02","",
"特選臺灣綠能及電動車指數","3,992.05","+","24.41","0.62","",
"特選臺灣智能車供應鏈聯盟指數","3,722.83","+","31.10","0.84","",
"臺灣全市場半導體精選30指數","3,193.53","+","19.80","0.62","",
"特選臺灣高股息30指數","3,540.88","+","11.35","0.32","",
"臺灣友善環境指數","4,044.95","+","34.86","0.87","",
"台灣永續價值指數","3,783.89","+","39.76","1.06","",
"特選臺灣IC設計指數","2,378.92","+","5.53","0.23","",
"特選臺灣環境永續高股息指數","3,736.66","+","15.70","0.42","",
"臺灣友善環境50指數","3,505.47","+","33.92","0.98","",
"特選台灣策略高股息30指數","3,451.12","+","0.38","0.01","",
"特選臺灣IC設計產業代表指數","2,843.15","-","0.35","-0.01","",
"特選臺灣綠能指數","4,324.29","+","35.75","0.83","",
"特選臺灣成長高股息指數","3,478.50","+","19.54","0.56","",
"特選臺灣智慧50指數","3,308.46","+","40.67","1.24","",
"特選臺灣標竿PCB指數","3,468.59","+","42.80","1.25","",
"臺灣晶圓製造指數","3,730.74","+","22.72","0.61","",
"臺灣精選高息指數","3,494.67","+","35.23","1.02","",
"臺灣多因子優選高股息30指數","4,451.18","+","15.53","0.35","",
"特選臺灣優利高填息30指數","4,063.05","+","28.65","0.71","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","23,254.63","+","255.08","1.11","",
"金融類日報酬反向一倍指數","5,283.72","-","29.46","-0.55","",
"漲升股利150指數","7,182.88","+","46.63","0.65","",
"藍籌30指數","6,432.83","+","73.05","1.15","",
"工業菁英30指數","6,874.63","+","71.60","1.05","",
"電子菁英30指數","6,668.53","+","57.08","0.86","",
"低波動股利精選30指數","6,122.76","+","30.80","0.51","",
"中小型A級動能50指數","12,830.92","-","54.86","-0.43","",
"特選高息低波指數","6,253.87","+","36.67","0.59","",
"臺灣永續指數","6,795.14","+","72.26","1.07","",
"特選內需高收益指數","5,464.41","+","22.66","0.42","",
"價值投資指數","5,125.57","+","8.94","0.17","",
"存股雙十等權重指數","6,202.54","+","39.66","0.64","",
"特選大蘋果指數","6,013.17","+","53.76","0.90","",
"中小型300指數","7,721.23","+","20.16","0.26","",
"特股高息20指數","5,514.51","+","16.60","0.30","",
"臺灣500指數","6,904.85","+","61.88","0.90","",
"臺灣勞工權益指數","6,735.33","+","35.41","0.53","",
"微波高息精選20指數","5,943.43","+","27.27","0.46","",
"特選世代行動通訊指數","5,528.36","+","39.39","0.72","",
"智慧投資多因子30指數","4,394.11","+","48.39","1.11","",
"臺股期貨指數","6,990.38","+","57.67","0.83","",
"特選價值成長指數","5,802.02","+","38.72","0.67","",
"臺灣上櫃永續指數","5,056.37","+","14.83","0.29","",
"特選台股領航指數","6,020.77","+","45.94","0.77","",
"特選Smart多因子指數","4,964.22","+","49.01","1.00","",
"特選ESG高股息指數","3,667.80","+","17.63","0.48","",
"特選上櫃ESG成長指數","3,670.29","+","3.06","0.08","",
"特選上櫃ESG電子菁英指數","3,740.47","+","8.96","0.24","",
"新臺灣高股息指數","4,099.87","+","16.22","0.40","",
"臺灣優息存股指數","4,380.08","+","20.51","0.47","",
"特選上櫃ESG永續高股息指數","5,251.23","+","9.93","0.19","",
"特選臺灣金融高股息存股指數","4,700.62","+","27.07","0.58","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","21,345.31","+","177.85","0.84","",
"發行量加權股價報酬指數","27,701.59","+","257.70","0.94","",
"臺灣公司治理100報酬指數","10,367.10","+","125.46","1.22","",
"臺灣50報酬指數","20,825.68","+","277.81","1.35","",
"臺灣50權重上限30%報酬指數","20,388.49","+","218.18","1.08","",
"臺灣中型100報酬指數","23,687.75","+","100.65","0.43","",
