"111年11月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"特選世代行動通訊指數","5,704.60","+","102.82","1.84","",
"智慧投資多因子30指數","4,595.02","+","141.23","3.17","",
"臺股期貨指數","7,368.01","+","302.17","4.28","",
"特選價值成長指數","6,047.15","+","90.05","1.51","",
"臺灣上櫃永續指數","5,396.05","+","213.79","4.13","",
"特選台股領航指數","6,390.85","+","276.26","4.52","",
"特選Smart多因子指數","5,252.00","+","208.23","4.13","",
"特選ESG高股息指數","3,879.53","+","131.24","3.50","",
"特選上櫃ESG成長指數","3,932.30","+","195.19","5.22","",
"特選上櫃ESG電子菁英指數","4,028.23","+","204.10","5.34","",
"新臺灣高股息指數","4,225.10","+","89.91","2.17","",
"臺灣優息存股指數","4,510.84","+","118.76","2.70","",
"特選上櫃ESG永續高股息指數","5,547.56","+","226.70","4.26","",
"特選臺灣金融高股息存股指數","4,843.15","+","169.13","3.62","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","22,374.81","+","776.33","3.59","",
"發行量加權股價報酬指數","29,070.92","+","1,045.59","3.73","",
"臺灣公司治理100報酬指數","11,002.62","+","497.38","4.73","",
"臺灣50報酬指數","22,302.54","+","1,135.88","5.37","",
"臺灣50權重上限30%報酬指數","21,626.57","+","933.03","4.51","",
"臺灣中型100報酬指數","24,332.55","+","466.65","1.96","",
"臺灣資訊科技股報酬指數","35,592.36","+","2,013.75","6.00","",
"臺灣發達報酬指數","17,996.92","+","332.71","1.88","",
"臺灣高股息報酬指數","16,143.78","+","315.94","2.00","",
"臺灣就業99報酬指數","13,666.48","+","429.23","3.24","",
"臺灣高薪100報酬指數","11,287.27","+","358.27","3.28","",
"未含金融電子報酬指數","29,136.55","+","395.51","1.38","",
"小型股300報酬指數","10,292.79","+","58.64","0.57","",
"水泥類報酬指數","291.83","+","3.85","1.34","",
"食品類報酬指數","2,788.86","+","9.78","0.35","",
"塑膠類報酬指數","440.16","+","9.23","2.14","",
"紡織纖維類報酬指數","927.83","+","11.45","1.25","",
"電機機械類報酬指數","322.70","+","4.93","1.55","",
"電器電纜類報酬指數","149.20","+","2.53","1.72","",
"化學生技醫療類報酬指數","164.72","+","3.18","1.97","",
"化學類報酬指數","208.07","+","4.04","1.98","",
"生技醫療類報酬指數","86.03","+","1.65","1.96","",
"玻璃陶瓷類報酬指數","73.96","+","1.56","2.15","",
"造紙類報酬指數","470.77","+","5.74","1.23","",
"鋼鐵類報酬指數","220.19","+","1.95","0.89","",
"橡膠類報酬指數","364.01","+","0.15","0.04","",
"汽車類報酬指數","504.74","+","5.99","1.20","",
"電子工業類報酬指數","1,212.55","+","56.99","4.93","",
"半導體類報酬指數","529.96","+","35.29","7.13","",
"電腦及週邊設備類報酬指數","263.69","+","4.99","1.93","",
"光電類報酬指數","48.47","+","0.75","1.57","",
"通信網路類報酬指數","259.80","+","2.94","1.14","",
"電子零組件類報酬指數","292.69","+","9.34","3.30","",
"電子通路類報酬指數","394.40","+","4.33","1.11","",
"資訊服務類報酬指數","275.32","+","0.33","0.12","",
"其他電子類報酬指數","152.52","+","0.27","0.18","",
"建材營造類報酬指數","682.54","+","1.94","0.29","",
"航運類報酬指數","246.78","+","0.45","0.18","",
"觀光類報酬指數","138.00","+","0.06","0.04","",
"金融保險類報酬指數","2,592.35","+","85.28","3.40","",
"貿易百貨類報酬指數","408.95","+","8.56","2.14","",
"油電燃氣類報酬指數","173.64","+","2.67","1.56","",
"其他類報酬指數","561.55","+","13.02","2.37","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,393.06","+","129.68","3.04","",
"臺灣中小型公司治理報酬指數","8,546.95","+","290.57","3.52","",
"臺灣IPO報酬指數","5,200.36","+","147.79","2.93","",
"智慧中立報酬指數","4,012.20","-","15.73","-0.39","",
"加權指數掩護性臺指買權價外5%報酬指數","6,220.54","+","85.23","1.39","",
"臺灣5G報酬指數","7,943.63","+","354.01","4.66","",
"臺灣企業社會責任中小型報酬指數","8,886.58","+","159.17","1.82","",
"特選臺灣電動車代表報酬指數","6,329.22","+","126.17","2.03","",
"臺灣5G+通訊報酬指數","5,769.76","+","258.16","4.68","",
"臺灣全市場報酬指數","5,096.15","+","192.97","3.94","",
"臺灣全市場半導體報酬指數","4,782.03","+","246.29","5.43","",
"臺灣電動車與自駕科技永續概念報酬指數","4,268.56","+","196.58","4.83","",
"臺灣智慧移動與電動車報酬指數","3,993.25","+","150.10","3.91","",
"特選小資高價30報酬指數","4,478.26","+","231.57","5.45","",
