"111年08月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","17,299.15","+","288.27","1.69","",
"發行量加權股價指數","15,197.85","+","258.83","1.73","",
"臺灣公司治理100指數","8,818.50","+","171.80","1.99","",
"臺灣50指數","11,830.67","+","242.89","2.10","",
"臺灣50權重上限30%指數","11,184.04","+","206.95","1.89","",
"臺灣中型100指數","12,720.02","+","204.29","1.63","",
"臺灣資訊科技指數","19,978.25","+","465.54","2.39","",
"臺灣發達指數","9,990.35","+","136.21","1.38","",
"臺灣高股息指數","6,253.89","+","81.46","1.32","",
"臺灣就業99指數","9,099.32","+","168.34","1.88","",
"臺灣高薪100指數","8,400.88","+","138.96","1.68","",
"未含金融指數","13,028.95","+","228.35","1.78","",
"未含電子指數","17,757.36","+","206.43","1.18","",
"未含金融電子指數","14,650.96","+","158.22","1.09","",
"小型股300指數","8,174.55","+","68.25","0.84","",
"水泥窯製類指數","636.01","+","11.39","1.82","",
"塑膠化工類指數","816.34","+","8.26","1.02","",
"機電類指數","3,946.20","+","80.15","2.07","",
"水泥類指數","169.62","+","3.12","1.87","",
"食品類指數","1,815.22","+","12.34","0.68","",
"塑膠類指數","239.46","+","3.52","1.49","",
"紡織纖維類指數","553.07","+","15.68","2.92","",
"電機機械類指數","222.66","+","2.47","1.12","",
"電器電纜類指數","83.96","+","1.13","1.36","",
"化學生技醫療類指數","112.25","+","0.40","0.36","",
"化學類指數","134.74","+","0.79","0.59","",
"生技醫療類指數","63.71","+","0.08","0.13","",
"玻璃陶瓷類指數","46.26","+","0.67","1.47","",
"造紙類指數","294.46","+","3.91","1.35","",
"鋼鐵類指數","134.96","+","1.68","1.26","",
"橡膠類指數","246.73","-","0.36","-0.15","",
"汽車類指數","325.11","+","3.53","1.10","",
"電子工業類指數","706.51","+","14.54","2.10","",
"半導體類指數","337.73","+","8.70","2.64","",
"電腦及週邊設備類指數","124.33","+","0.85","0.69","",
"光電類指數","33.17","+","0.67","2.06","",
"通信網路類指數","138.34","+","1.21","0.88","",
"電子零組件類指數","156.80","+","1.44","0.93","",
"電子通路類指數","171.95","+","1.52","0.89","",
"資訊服務類指數","125.01","+","0.35","0.28","",
"其他電子類指數","103.05","+","2.07","2.05","",
"建材營造類指數","351.83","+","2.05","0.59","",
"航運類指數","208.50","+","0.49","0.24","",
"觀光類指數","96.03","+","0.56","0.59","",
"金融保險類指數","1,605.38","+","21.63","1.37","",
