"111年03月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","20,000.99","+","8.63","0.04","",
"發行量加權股價指數","17,559.71","-","0.65","--","",
"臺灣公司治理100指數","10,190.13","-","21.68","-0.21","",
"臺灣50指數","13,660.38","-","29.42","-0.21","",
"臺灣50權重上限30%指數","12,975.72","-","15.64","-0.12","",
"臺灣中型100指數","14,688.82","+","49.83","0.34","",
"臺灣資訊科技指數","23,308.01","-","59.35","-0.25","",
"臺灣發達指數","11,388.75","-","14.69","-0.13","",
"臺灣高股息指數","7,958.21","-","22.58","-0.28","",
"臺灣就業99指數","10,570.76","+","1.88","0.02","",
"臺灣高薪100指數","9,837.27","-","2.57","-0.03","",
"未含金融指數","15,095.80","-","9.31","-0.06","",
"未含電子指數","20,375.68","+","46.19","0.23","",
"未含金融電子指數","16,910.23","+","23.88","0.14","",
"小型股300指數","9,351.08","+","46.06","0.50","",
"水泥窯製類指數","747.32","-","0.15","-0.02","",
"塑膠化工類指數","971.62","+","4.96","0.51","",
"機電類指數","4,567.14","-","6.04","-0.13","",
"水泥類指數","193.64","-","0.02","-0.01","",
"食品類指數","1,872.87","-","0.13","-0.01","",
"塑膠類指數","294.54","+","0.65","0.22","",
"紡織纖維類指數","593.07","-","0.83","-0.14","",
"電機機械類指數","233.45","+","1.09","0.47","",
"電器電纜類指數","87.40","+","0.95","1.10","",
"化學生技醫療類指數","123.53","+","2.27","1.87","",
"化學類指數","155.01","+","4.44","2.95","",
"生技醫療類指數","65.78","+","0.24","0.37","",
"玻璃陶瓷類指數","65.61","-","0.05","-0.08","",
"造紙類指數","387.11","-","0.36","-0.09","",
"鋼鐵類指數","191.90","+","1.19","0.62","",
"橡膠類指數","284.33","-","1.74","-0.61","",
"汽車類指數","317.47","+","1.33","0.42","",
"電子工業類指數","819.94","-","1.26","-0.15","",
"半導體類指數","406.43","-","1.52","-0.37","",
"電腦及週邊設備類指數","142.26","+","0.15","0.11","",
"光電類指數","39.51","+","0.01","0.03","",
"通信網路類指數","136.23","-","0.05","-0.04","",
"電子零組件類指數","185.76","+","2.08","1.13","",
"電子通路類指數","209.88","+","0.19","0.09","",
"資訊服務類指數","129.99","-","1.02","-0.78","",
"其他電子類指數","98.27","-","0.35","-0.35","",
"建材營造類指數","375.49","+","3.67","0.99","",
"航運類指數","271.63","-","3.70","-1.34","",
"觀光類指數","96.05","-","0.29","-0.30","",
"金融保險類指數","1,817.43","+","7.63","0.42","",
"貿易百貨類指數","305.62","+","2.09","0.69","",
"油電燃氣類指數","125.15","+","0.62","0.50","",
"其他類指數","386.83","+","1.29","0.33","",
"臺指日報酬兩倍指數","39,809.95","-","2.95","-0.01","",
"臺指反向一倍指數","4,022.53","+","0.15","--","",
"電子類兩倍槓桿指數","38,711.90","-","119.16","-0.31","",
"電子類反向指數","3,667.14","+","5.62","0.15","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,343.25","+","12.55","0.29","",
"臺灣中小型公司治理指數","7,731.28","-","14.79","-0.19","",
"臺灣IPO指數","7,007.87","+","3.08","0.04","",
"智慧中立指數","4,050.42","-","26.21","-0.64","",
"臺灣5G指數","9,156.09","+","2.90","0.03","",
