"111年05月20日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,390.85","+","133.90","0.73","",
"發行量加權股價指數","16,144.85","+","124.53","0.78","",
"臺灣公司治理100指數","9,361.59","+","78.31","0.84","",
"臺灣50指數","12,469.64","+","118.76","0.96","",
"臺灣50權重上限30%指數","11,860.06","+","92.13","0.78","",
"臺灣中型100指數","13,698.90","+","60.01","0.44","",
"臺灣資訊科技指數","21,312.02","+","187.84","0.89","",
"臺灣發達指數","10,648.35","+","84.27","0.80","",
"臺灣高股息指數","7,168.49","+","14.39","0.20","",
"臺灣就業99指數","9,613.20","+","45.77","0.48","",
"臺灣高薪100指數","9,001.60","+","56.45","0.63","",
"未含金融指數","13,920.37","+","105.84","0.77","",
"未含電子指數","18,819.22","+","161.74","0.87","",
"未含金融電子指數","15,797.24","+","136.17","0.87","",
"小型股300指數","8,624.77","+","27.90","0.32","",
"水泥窯製類指數","644.32","+","2.31","0.36","",
"塑膠化工類指數","908.21","+","7.99","0.89","",
"機電類指數","4,195.73","+","30.62","0.74","",
"水泥類指數","167.82","+","0.64","0.38","",
"食品類指數","1,799.60","+","2.17","0.12","",
"塑膠類指數","276.01","+","3.21","1.18","",
"紡織纖維類指數","566.40","+","2.99","0.53","",
"電機機械類指數","222.16","+","1.03","0.47","",
"電器電纜類指數","98.05","+","3.51","3.71","",
"化學生技醫療類指數","117.06","-","0.08","-0.07","",
"化學類指數","145.82","-","0.35","-0.24","",
"生技醫療類指數","62.97","+","0.11","0.17","",
"玻璃陶瓷類指數","54.85","+","0.13","0.24","",
"造紙類指數","327.36","+","3.06","0.94","",
"鋼鐵類指數","159.06","+","2.27","1.45","",
"橡膠類指數","252.94","+","3.01","1.20","",
"汽車類指數","315.12","+","8.09","2.63","",
"電子工業類指數","751.66","+","5.37","0.72","",
"半導體類指數","368.42","+","3.96","1.09","",
"電腦及週邊設備類指數","129.28","-","0.45","-0.35","",
"光電類指數","33.28","","--","--","",
"通信網路類指數","136.11","-","0.08","-0.06","",
"電子零組件類指數","168.23","+","0.79","0.47","",
"電子通路類指數","200.10","+","2.77","1.40","",
"資訊服務類指數","125.93","+","0.48","0.38","",
"其他電子類指數","98.30","-","0.09","-0.09","",
"建材營造類指數","367.29","+","3.16","0.87","",
"航運類指數","254.71","+","1.94","0.77","",
"觀光類指數","91.23","+","0.49","0.54","",
"金融保險類指數","1,635.30","+","13.96","0.86","",
"貿易百貨類指數","285.15","-","1.97","-0.69","",
"油電燃氣類指數","122.97","+","2.07","1.71","",
"其他類指數","357.06","+","1.40","0.39","",
"臺指日報酬兩倍指數","33,473.86","+","512.43","1.55","",
"臺指反向一倍指數","4,352.22","-","34.10","-0.78","",
"電子類兩倍槓桿指數","32,312.59","+","458.42","1.44","",
"電子類反向指數","3,973.63","-","28.80","-0.72","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,951.42","+","13.14","0.33","",
"臺灣中小型公司治理指數","7,024.32","+","20.68","0.30","",
"臺灣IPO指數","6,553.04","+","21.48","0.33","",
"智慧中立指數","4,021.48","-","22.03","-0.54","",
"臺灣5G指數","8,318.27","+","37.45","0.45","",
"臺灣企業社會責任中小型指數","8,338.42","+","32.17","0.39","",
"特選臺灣電動車代表指數","5,569.83","+","6.94","0.12","",
"臺灣5G+通訊指數","6,087.08","+","26.28","0.43","",
"臺灣全市場指數","5,472.78","+","40.59","0.75","",
"臺灣全市場半導體指數","5,540.98","+","25.92","0.47","",
"臺灣電動車與自駕科技永續概念指數","4,482.66","+","30.85","0.69","",
"臺灣智慧移動與電動車指數","4,301.08","+","16.55","0.39","",
"特選小資高價30指數","4,750.84","+","23.58","0.50","",
"特選臺灣綠能及電動車指數","4,525.70","+","29.47","0.66","",
"特選臺灣智能車供應鏈聯盟指數","4,415.45","+","26.29","0.60","",
"臺灣全市場半導體精選30指數","4,398.85","+","22.62","0.52","",
"特選臺灣高股息30指數","4,591.07","+","26.19","0.57","",
"臺灣友善環境指數","4,962.47","+","34.50","0.70","",
"台灣永續價值指數","4,475.90","+","38.84","0.88","",
"特選臺灣IC設計指數","3,697.03","-","16.20","-0.44","",
"特選臺灣環境永續高股息指數","4,569.22","+","11.23","0.25","",
