"111年08月03日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","16,810.17","+","21.63","0.13","",
"發行量加權股價指數","14,777.02","+","29.79","0.20","",
"臺灣公司治理100指數","8,575.74","+","51.32","0.60","",
"臺灣50指數","11,503.98","+","100.57","0.88","",
"臺灣50權重上限30%指數","10,867.37","+","64.64","0.60","",
"臺灣中型100指數","12,332.95","-","93.28","-0.75","",
"臺灣資訊科技指數","19,477.68","+","228.14","1.19","",
"臺灣發達指數","9,785.08","-","43.11","-0.44","",
"臺灣高股息指數","6,131.75","+","1.89","0.03","",
"臺灣就業99指數","8,779.29","+","3.42","0.04","",
"臺灣高薪100指數","8,128.64","+","10.55","0.13","",
"未含金融指數","12,703.87","+","32.43","0.26","",
"未含電子指數","17,238.06","-","117.42","-0.68","",
"未含金融電子指數","14,341.00","-","128.19","-0.89","",
"小型股300指數","7,944.65","-","93.56","-1.16","",
"水泥窯製類指數","630.18","-","1.56","-0.25","",
"塑膠化工類指數","805.97","-","4.43","-0.55","",
"機電類指數","3,842.49","+","27.75","0.73","",
"水泥類指數","168.23","-","0.17","-0.10","",
"食品類指數","1,845.63","-","1.09","-0.06","",
"塑膠類指數","236.84","+","0.09","0.04","",
"紡織纖維類指數","525.62","-","1.12","-0.21","",
"電機機械類指數","219.55","-","1.73","-0.78","",
"電器電纜類指數","82.93","-","1.80","-2.12","",
"化學生技醫療類指數","109.64","-","2.13","-1.91","",
"化學類指數","132.45","-","1.49","-1.11","",
"生技醫療類指數","61.79","-","1.76","-2.77","",
"玻璃陶瓷類指數","45.51","-","0.61","-1.32","",
"造紙類指數","290.74","-","1.91","-0.65","",
"鋼鐵類指數","133.51","-","1.68","-1.24","",
"橡膠類指數","247.63","-","1.63","-0.65","",
"汽車類指數","321.65","-","2.82","-0.87","",
"電子工業類指數","687.67","+","5.36","0.79","",
"半導體類指數","329.85","+","4.47","1.37","",
"電腦及週邊設備類指數","122.78","-","0.38","-0.31","",
"光電類指數","31.37","-","0.08","-0.25","",
"通信網路類指數","133.87","-","0.98","-0.73","",
"電子零組件類指數","151.88","+","0.19","0.13","",
"電子通路類指數","169.70","-","1.34","-0.78","",
"資訊服務類指數","122.29","-","0.23","-0.19","",
"其他電子類指數","98.43","+","0.24","0.24","",
"建材營造類指數","343.99","-","0.95","-0.28","",
"航運類指數","199.55","-","1.67","-0.83","",
"觀光類指數","94.41","-","1.83","-1.90","",
"金融保險類指數","1,529.38","-","2.94","-0.19","",
